Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count
CHG-0000199,Initiate scheduled SAN Storage Array node reboot to resolve high uptime issue.,Complaint,Loki,Loki,Avengers,Service C,Medium,Low,Low,On Hold,High,2025-02-28T17:43:58.000000,Friday,,,5
CHG-0000200,Execution of systemctl daemon-reload to patch Prod-CSO VM resiliency.,Facilities,Shang Chi,Shang Chi,Avengers II,Service D,Medium,Low,Medium,Closed,Medium,2025-02-28T22:26:31.000000,Friday,2025-03-01T03:26:31.000000,2025-03-01T05:26:31.000000,3
CHG-0000201,Configuration changes for monitoring processors on Redis prototype servers.,Hardware,Hulk,Hulk,Avengers,Service E,Medium,Medium,Medium,Closed,Medium,2025-02-28T14:34:10.000000,Friday,2025-02-28T20:34:10.000000,2025-03-01T00:34:10.000000,5
CHG-0000202,"Server BIOS updates across remote virtual VM hosts (RESFFM01, SECFFM01).",Facilities,Captain America,Captain America,Avengers,Service C,Medium,Low,High,Closed,Medium,2025-03-01T16:15:52.000000,Saturday,2025-03-01T19:15:52.000000,2025-03-02T03:15:52.000000,3
CHG-0000203,"VUL-NET: Cisco Wireless IOS-XE Software Update for WLC9800 | Jugoslavska, CZ (PRA06).",Access,Thor,Thor,Avengers,Service D,Medium,Medium,Medium,Closed,Low,2025-03-01T10:43:45.000000,Saturday,2025-03-01T18:43:45.000000,2025-03-01T22:43:45.000000,0
CHG-0000204,Grant access to crontab for ta2twga on twgmmp01.zit.commerzbank.com.,Data,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Medium,High,Closed,High,2025-03-02T17:40:17.000000,Sunday,2025-03-02T21:40:17.000000,2025-03-03T19:40:17.000000,1
CHG-0000205,Certificate renewal request for high-availability environment 2026.,Data,Thor,Thor,Avengers,Service B,Low,High,High,Closed,Medium,2025-03-02T18:52:33.000000,Sunday,2025-03-02T22:52:33.000000,2025-03-04T00:52:33.000000,5
CHG-0000206,Install httpd-tools on edge proxy nodes.,Complaint,Neo,Neo,Matrix,Service B,Low,Medium,Medium,Closed,Critical,2025-03-02T13:49:48.000000,Sunday,2025-03-02T21:49:48.000000,2025-03-04T09:49:48.000000,1
CHG-0000207,"VUL-NET: Apply Cisco IOS Software Update for routers at PRA, SHA, and TOK sites.",Failure,Batman,Batman,Matrix,Service B,High,Low,Medium,Closed,High,2025-03-02T17:38:39.000000,Sunday,2025-03-02T23:38:39.000000,2025-03-03T14:38:39.000000,1
CHG-0000208,Updating the IDRAC remote board Firmware and BIOS for sonklb31.,Hardware,Captain America,Captain America,Avengers,Service E,Medium,High,High,New,Medium,2025-03-02T11:30:18.000000,Sunday,,,0
CHG-0000209,Install Redis cluster monitoring tools in shard servers.,Network,Loki,Loki,Avengers,Service B,Low,Medium,Medium,Closed,High,2025-03-03T03:57:09.000000,Monday,2025-03-03T05:57:09.000000,2025-03-04T09:57:09.000000,1
CHG-0000210,Install httpd-tools on edge proxy nodes.,Software,John Wick,John Wick,Matrix,Service A,Medium,High,Low,Closed,High,2025-03-03T20:42:09.000000,Monday,2025-03-04T01:42:09.000000,2025-03-04T15:42:09.000000,4
CHG-0000211,Enable database backups at sv273046 for production environment.,Facilities,Captain America,Captain America,Avengers,Service A,Low,High,Low,Closed,Medium,2025-03-03T01:09:44.000000,Monday,2025-03-03T08:09:44.000000,2025-03-04T15:09:44.000000,5
CHG-0000212,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Hardware,John Cena,John Cena,Matrix,Service B,Medium,Medium,Medium,Closed,Critical,2025-03-04T04:02:26.000000,Tuesday,2025-03-04T08:02:26.000000,2025-03-05T17:02:26.000000,3
CHG-0000213,Execute hardening measures for SQL server instances post security audit.,Failure,Loki,Loki,Avengers,Service A,High,Low,Medium,Closed,Medium,2025-03-05T16:14:28.000000,Wednesday,2025-03-05T19:14:28.000000,2025-03-06T11:14:28.000000,2
CHG-0000214,Certificate renewal for Avatar development environment - Cloud Integration Testing Area.,Hardware,John Cena,John Cena,Matrix,Service C,High,Medium,Medium,Closed,High,2025-03-05T06:43:13.000000,Wednesday,2025-03-05T14:43:13.000000,2025-03-06T07:43:13.000000,1
CHG-0000215,Install Redis cluster monitoring tools in shard servers.,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,High,High,Medium,Closed,Medium,2025-03-05T21:30:19.000000,Wednesday,2025-03-06T01:30:19.000000,2025-03-07T05:30:19.000000,4
CHG-0000216,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,Medium,Low,Low,On Hold,Medium,2025-03-06T04:22:57.000000,Thursday,,,3
CHG-0000217,Update from RHEL8.9 to RHEL8.10 on database workloads (non-prod).,Data,Neo,Neo,Matrix,Service A,High,High,Low,Closed,Medium,2025-03-06T03:22:09.000000,Thursday,2025-03-06T11:22:09.000000,2025-03-07T11:22:09.000000,5
CHG-0000218,Adjust Volume changes incompatible fixes mid-stage (handling-/handoff migration).,Hardware,Shang Chi,Shang Chi,Avengers II,Service D,High,Medium,Medium,Closed,Critical,2025-03-06T14:07:12.000000,Thursday,2025-03-06T22:07:12.000000,2025-03-07T16:07:12.000000,3
CHG-0000219,Provision new storage array in EU data center for increased redundancy.,Data,Spiderman,Spiderman,Avengers II,Service C,Medium,Low,High,Closed,Critical,2025-03-06T09:55:32.000000,Thursday,2025-03-06T14:55:32.000000,2025-03-07T04:55:32.000000,0
CHG-0000220,Certificate update for Palo Alto gatekeeping subnet for KL relocation network.,Complaint,Iron Man,Iron Man,Avengers,Service D,High,Medium,Low,Closed,Medium,2025-03-06T22:58:26.000000,Thursday,2025-03-07T03:58:26.000000,2025-03-07T07:58:26.000000,0
CHG-0000221,Firewall subnet allocation and access provisioning for KL office gateway.,Facilities,Hulk,Hulk,Avengers,Service E,High,High,Low,Closed,Medium,2025-03-07T06:05:03.000000,Friday,2025-03-07T13:05:03.000000,2025-03-07T22:05:03.000000,4
CHG-0000222,Update the IDRAC remote board Firmware and BIOS for secklb01.,Complaint,Captain America,Captain America,Avengers,Service E,High,Medium,High,Closed,High,2025-03-07T10:56:24.000000,Friday,2025-03-07T14:56:24.000000,2025-03-07T17:56:24.000000,0
CHG-0000223,Certificate renewal request for high-availability environment 2026.,Hardware,Iron Man,Iron Man,Avengers,Service C,Low,High,Medium,Closed,Medium,2025-03-07T05:13:37.000000,Friday,2025-03-07T09:13:37.000000,2025-03-07T15:13:37.000000,4
CHG-0000224,Increase VM capacity for ongoing AI processing workload.,Network,Hulk,Hulk,Avengers,Service C,High,Low,High,New,Medium,2025-03-07T01:53:22.000000,Friday,,,1
CHG-0000225,Test external web proxy configurations on development servers.,Hardware,Hulk,Hulk,Avengers,Service C,Medium,High,Medium,Closed,Medium,2025-03-07T01:54:44.000000,Friday,2025-03-07T03:54:44.000000,2025-03-07T17:54:44.000000,4
CHG-0000226,Grant access for backup recovery on production machine nodes in DR locations.,Failure,Loki,Loki,Avengers,Service B,High,High,Low,Closed,Medium,2025-03-08T20:08:38.000000,Saturday,2025-03-08T23:08:38.000000,2025-03-10T06:08:38.000000,4
CHG-0000227,Online Banking external CB-APP onboarding on Radware On-prem environment.,Software,Loki,Loki,Avengers,Service A,Medium,High,High,Closed,Medium,2025-03-08T19:07:12.000000,Saturday,2025-03-08T21:07:12.000000,2025-03-09T18:07:12.000000,4
CHG-0000228,Firewall optimization for edge routing performance post DR testing.,Failure,Doctor Strange,Doctor Strange,Avengers II,Service E,High,High,Medium,Closed,Medium,2025-03-08T18:53:03.000000,Saturday,2025-03-09T02:53:03.000000,2025-03-10T01:53:03.000000,4
CHG-0000229,UC4 Agent Installation on gcetcami001.,Complaint,Loki,Loki,Avengers,Service A,Medium,High,High,Closed,Medium,2025-03-09T20:55:24.000000,Sunday,2025-03-09T22:55:24.000000,2025-03-10T01:55:24.000000,2
CHG-0000230,Certificate renewal request for high-availability environment 2026.,Network,John Wick,John Wick,Matrix,Service A,Medium,High,Low,Closed,High,2025-03-09T00:26:05.000000,Sunday,2025-03-09T04:26:05.000000,2025-03-09T10:26:05.000000,2
CHG-0000231,Adjust Volume changes incompatible fixes mid-stage (handling-/handoff migration).,Hardware,Thor,Thor,Avengers,Service C,Medium,High,Medium,Closed,Medium,2025-03-10T14:03:29.000000,Monday,2025-03-10T21:03:29.000000,2025-03-11T23:03:29.000000,5
CHG-0000232,Update the IDRAC remote board Firmware and BIOS for secklb01.,Network,Shang Chi,Shang Chi,Avengers II,Service C,Low,High,High,Closed,Medium,2025-03-10T14:18:37.000000,Monday,2025-03-10T22:18:37.000000,2025-03-11T11:18:37.000000,2
CHG-0000233,Enable additional remote IPV6 routing for Japanese production systems.,Data,Loki,Loki,Avengers,Service A,Low,Medium,Medium,Closed,Medium,2025-03-11T02:51:42.000000,Tuesday,2025-03-11T09:51:42.000000,2025-03-12T16:51:42.000000,3
CHG-0000234,Updating the IDRAC remote board Firmware and BIOS for sonklb31.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service D,Low,Low,High,Closed,High,2025-03-12T21:02:11.000000,Wednesday,2025-03-13T02:02:11.000000,2025-03-14T12:02:11.000000,2
CHG-0000235,Provision new storage array in EU data center for increased redundancy.,Complaint,Thor,Thor,Avengers,Service C,High,Low,Low,Closed,Medium,2025-03-12T07:49:14.000000,Wednesday,2025-03-12T09:49:14.000000,2025-03-13T08:49:14.000000,1
CHG-0000236,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Software,Neo,Neo,Matrix,Service B,Low,Medium,Medium,Closed,High,2025-03-13T12:31:33.000000,Thursday,2025-03-13T17:31:33.000000,2025-03-14T16:31:33.000000,4
CHG-0000237,Restart tkmweb database servers after container update failure response.,Facilities,John Cena,John Cena,Matrix,Service A,Medium,Low,Medium,Closed,Low,2025-03-14T11:22:14.000000,Friday,2025-03-14T14:22:14.000000,2025-03-15T16:22:14.000000,0
CHG-0000238,Certificate renewal for Avatar development environment - Cloud Integration Testing Area.,Access,Captain America,Captain America,Avengers,Service A,Medium,Medium,Medium,Closed,Medium,2025-03-14T01:16:45.000000,Friday,2025-03-14T03:16:45.000000,2025-03-15T13:16:45.000000,3
CHG-0000239,Enable database backups at sv273046 for production environment.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service E,High,Low,High,Closed,Medium,2025-03-14T06:50:18.000000,Friday,2025-03-14T11:50:18.000000,2025-03-15T18:50:18.000000,5
CHG-0000240,UC4 Agent Installation on gcetcami001.,Data,Batman,Batman,Matrix,Service B,High,Low,Medium,Closed,Low,2025-03-14T22:23:02.000000,Friday,2025-03-15T02:23:02.000000,2025-03-15T21:23:02.000000,1
CHG-0000241,Grant access for backup recovery on production machine nodes in DR locations.,Access,Hulk,Hulk,Avengers,Service C,Low,Low,Medium,Closed,Medium,2025-03-15T16:05:01.000000,Saturday,2025-03-15T19:05:01.000000,2025-03-17T03:05:01.000000,5
CHG-0000242,VUL-NET: Critical Juniper network patch for external office gateways.,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,High,Low,Medium,Closed,High,2025-03-16T06:27:04.000000,Sunday,2025-03-16T12:27:04.000000,2025-03-17T15:27:04.000000,2
CHG-0000243,Execution of systemctl daemon-reload to patch Prod-CSO VM resiliency.,Network,Spiderman,Spiderman,Avengers II,Service A,Low,Medium,Low,New,Medium,2025-03-16T19:19:43.000000,Sunday,,,5
CHG-0000244,Switchport configuration for targeted hosts to enhance authentication mechanisms.,Network,Hulk,Hulk,Avengers,Service C,Medium,Low,Medium,Closed,Medium,2025-03-17T04:23:49.000000,Monday,2025-03-17T09:23:49.000000,2025-03-18T10:23:49.000000,2
CHG-0000245,UC4 Agent Installation on gcetcami001.,Data,Shang Chi,Shang Chi,Avengers II,Service E,Medium,Medium,Low,Closed,Medium,2025-03-17T22:20:13.000000,Monday,2025-03-18T00:20:13.000000,2025-03-19T11:20:13.000000,1
CHG-0000246,Patch network appliances for compliance with wireless protocols.,Software,John Wick,John Wick,Matrix,Service C,Low,High,High,Closed,Medium,2025-03-17T16:05:36.000000,Monday,2025-03-17T23:05:36.000000,2025-03-18T13:05:36.000000,4
CHG-0000247,Certificate renewal for Avatar development environment - Cloud Integration Testing Area.,Failure,Thor,Thor,Avengers,Service A,Medium,High,Medium,New,Low,2025-03-17T11:50:54.000000,Monday,,,4
CHG-0000248,Patch remote job runner script dependencies for IMK analytics platform.,Access,Iron Man,Iron Man,Avengers,Service D,Low,High,Low,Closed,Medium,2025-03-18T16:53:19.000000,Tuesday,2025-03-18T22:53:19.000000,2025-03-20T02:53:19.000000,2
CHG-0000249,Complete SSL foundation checks for project-focused data endpoints.,Complaint,Iron Man,Iron Man,Avengers,Service E,Low,Low,Medium,Closed,Medium,2025-03-18T01:15:27.000000,Tuesday,2025-03-18T09:15:27.000000,2025-03-19T06:15:27.000000,0
CHG-0000250,ACI switchports configuration for work orders #REQ0155328 #REQ0147118 #REQ0152855.,Software,Captain America,Captain America,Avengers,Service E,Low,Low,Medium,Closed,Medium,2025-03-18T07:53:48.000000,Tuesday,2025-03-18T10:53:48.000000,2025-03-19T13:53:48.000000,0
CHG-0000251,Certificate update for Office 365 external access via Global Protect Gateways.,Access,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Low,Medium,Closed,Medium,2025-03-18T12:05:15.000000,Tuesday,2025-03-18T19:05:15.000000,2025-03-18T22:05:15.000000,2
CHG-0000252,Certificate update for Office 365 external access via Global Protect Gateways.,Complaint,Batman,Batman,Matrix,Service E,Low,High,High,Closed,Medium,2025-03-19T21:21:43.000000,Wednesday,2025-03-20T04:21:43.000000,2025-03-21T01:21:43.000000,4
CHG-0000253,Setup additional SAML authentication nodes in DMZ environment.,Network,Iron Man,Iron Man,Avengers,Service A,Low,Low,High,Closed,Medium,2025-03-19T04:54:07.000000,Wednesday,2025-03-19T12:54:07.000000,2025-03-19T18:54:07.000000,1
CHG-0000254,Case 65943239: Upgrade Ontap version to 9.14.1P12.,Complaint,Loki,Loki,Avengers,Service D,High,High,Low,Closed,Medium,2025-03-20T04:10:11.000000,Thursday,2025-03-20T07:10:11.000000,2025-03-20T09:10:11.000000,1
CHG-0000255,SSL certificate renewal for SWS corporate web hosting final access gateways.,Access,Captain America,Captain America,Avengers,Service E,Low,Medium,Medium,Closed,Critical,2025-03-20T10:29:24.000000,Thursday,2025-03-20T18:29:24.000000,2025-03-21T22:29:24.000000,4
CHG-0000256,Certificate renewal for cloud-hosted services 2026.,Software,Loki,Loki,Avengers,Service D,High,Medium,High,Closed,High,2025-03-20T02:21:15.000000,Thursday,2025-03-20T09:21:15.000000,2025-03-20T18:21:15.000000,1
CHG-0000257,Updating the IDRAC remote board Firmware and BIOS for secffme2.,Complaint,Iron Man,Iron Man,Avengers,Service A,High,Medium,High,In Progress,Critical,2025-03-20T14:04:35.000000,Thursday,2025-03-20T22:04:35.000000,,5
CHG-0000258,"Server BIOS updates across remote virtual VM hosts (RESFFM01, SECFFM01).",Facilities,Thor,Thor,Avengers,Service C,Medium,Medium,Low,Closed,Medium,2025-03-20T07:50:20.000000,Thursday,2025-03-20T13:50:20.000000,2025-03-20T18:50:20.000000,2
CHG-0000259,Password reset request for disabled accounts in non-prod systems.,Facilities,John Cena,John Cena,Matrix,Service C,High,High,High,Closed,High,2025-03-21T18:05:35.000000,Friday,2025-03-22T02:05:35.000000,2025-03-23T00:05:35.000000,1
CHG-0000260,Remote board SSL Cert renewal for anysgp15 & anysgp14.,Access,Loki,Loki,Avengers,Service D,Low,Medium,High,Closed,High,2025-03-21T09:46:02.000000,Friday,2025-03-21T13:46:02.000000,2025-03-22T10:46:02.000000,1
CHG-0000261,Execution of systemctl daemon-reload to patch Prod-CSO VM resiliency.,Access,Iron Man,Iron Man,Avengers,Service B,High,Medium,Low,Closed,High,2025-03-22T11:54:53.000000,Saturday,2025-03-22T13:54:53.000000,2025-03-23T00:54:53.000000,1
CHG-0000262,Certificate renewal for cloud-hosted services 2026.,Data,Loki,Loki,Avengers,Service A,Low,High,Medium,Closed,Medium,2025-03-22T10:16:20.000000,Saturday,2025-03-22T13:16:20.000000,2025-03-23T06:16:20.000000,1
CHG-0000263,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Data,Shang Chi,Shang Chi,Avengers II,Service C,High,Low,Medium,Closed,Low,2025-03-22T17:01:23.000000,Saturday,2025-03-23T01:01:23.000000,2025-03-23T10:01:23.000000,3
CHG-0000264,Setup additional SAML authentication nodes in DMZ environment.,Complaint,Captain America,Captain America,Avengers,Service B,High,Medium,Medium,In Progress,Low,2025-03-22T10:05:10.000000,Saturday,2025-03-22T12:05:10.000000,,0
CHG-0000265,Expand edge metrics transitioning through Palo FLEX Zeon tiers vs EU roots.,Data,Neo,Neo,Matrix,Service A,Low,High,High,Closed,High,2025-03-23T22:28:45.000000,Sunday,2025-03-24T02:28:45.000000,2025-03-24T06:28:45.000000,1
CHG-0000266,Case 65943239: Upgrade Ontap version to 9.14.1P12.,Hardware,Iron Man,Iron Man,Avengers,Service D,Medium,High,Medium,Closed,Medium,2025-03-23T07:54:55.000000,Sunday,2025-03-23T13:54:55.000000,2025-03-25T00:54:55.000000,5
CHG-0000267,Provision new storage array in EU data center for increased redundancy.,Failure,Batman,Batman,Matrix,Service E,Low,Low,Medium,Closed,Medium,2025-03-23T07:03:04.000000,Sunday,2025-03-23T11:03:04.000000,2025-03-24T13:03:04.000000,4
CHG-0000268,Update the IDRAC remote board Firmware and BIOS for secklb01.,Complaint,Spiderman,Spiderman,Avengers II,Service E,Low,Low,Medium,Closed,Low,2025-03-24T23:06:57.000000,Monday,2025-03-25T04:06:57.000000,2025-03-25T19:06:57.000000,1
CHG-0000269,Certificate renewal request for high-availability environment 2026.,Failure,Shang Chi,Shang Chi,Avengers II,Service C,Medium,Low,Low,Closed,Medium,2025-03-24T08:28:42.000000,Monday,2025-03-24T15:28:42.000000,2025-03-25T00:28:42.000000,5
CHG-0000270,Certificate adjustments for new virtual database pipelines.,Access,Iron Man,Iron Man,Avengers,Service C,Low,Low,Medium,Closed,High,2025-03-24T15:52:50.000000,Monday,2025-03-24T21:52:50.000000,2025-03-25T12:52:50.000000,3
CHG-0000271,Complete SSL foundation checks for project-focused data endpoints.,Failure,Captain America,Captain America,Avengers,Service B,Low,Medium,Low,Closed,Medium,2025-03-25T23:12:54.000000,Tuesday,2025-03-26T02:12:54.000000,2025-03-26T19:12:54.000000,5
CHG-0000272,Execute systemctl daemon-reload on CSO VM (PROD).,Facilities,Captain America,Captain America,Avengers,Service D,Low,High,Medium,Closed,Medium,2025-03-26T18:50:23.000000,Wednesday,2025-03-26T22:50:23.000000,2025-03-27T00:50:23.000000,3
CHG-0000273,Grant access to crontab for ta2twga on twgmmp01.zit.commerzbank.com.,Network,Captain America,Captain America,Avengers,Service A,Low,Low,High,Closed,Medium,2025-03-26T02:59:45.000000,Wednesday,2025-03-26T04:59:45.000000,2025-03-27T11:59:45.000000,3
CHG-0000274,Update IDRAC remote board Firmware and BIOS for forffm71.,Failure,Spiderman,Spiderman,Avengers II,Service C,Medium,Medium,Medium,In Progress,High,2025-03-27T01:38:37.000000,Thursday,2025-03-27T03:38:37.000000,,2
CHG-0000275,Install rsync on twgmmp01.,Access,Loki,Loki,Avengers,Service A,High,High,Medium,Closed,Medium,2025-03-27T08:34:43.000000,Thursday,2025-03-27T10:34:43.000000,2025-03-28T18:34:43.000000,3
CHG-0000276,Certificate adjustments for new virtual database pipelines.,Software,Doctor Strange,Doctor Strange,Avengers II,Service A,High,Low,Medium,Closed,High,2025-03-27T11:22:01.000000,Thursday,2025-03-27T16:22:01.000000,2025-03-28T08:22:01.000000,2
CHG-0000277,Certificate renewal request for high-availability environment 2026.,Facilities,Shang Chi,Shang Chi,Avengers II,Service E,Medium,High,Medium,Closed,Medium,2025-03-27T17:03:19.000000,Thursday,2025-03-27T19:03:19.000000,2025-03-29T03:03:19.000000,4
CHG-0000278,Switchport configuration for targeted hosts to enhance authentication mechanisms.,Failure,Batman,Batman,Matrix,Service E,High,Low,Low,Closed,High,2025-03-27T17:54:28.000000,Thursday,2025-03-27T23:54:28.000000,2025-03-28T09:54:28.000000,2
CHG-0000279,Emergency fall-back routing enabled for Redis cluster 6 under high throughput.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service E,Medium,Low,Medium,Closed,High,2025-03-28T04:42:08.000000,Friday,2025-03-28T09:42:08.000000,2025-03-28T11:42:08.000000,0
CHG-0000280,Update IDRAC remote board Firmware and BIOS for forffm71.,Hardware,Thor,Thor,Avengers,Service E,Low,High,Medium,Closed,Medium,2025-03-28T07:17:38.000000,Friday,2025-03-28T09:17:38.000000,2025-03-28T17:17:38.000000,3
CHG-0000281,Test external web proxy configurations on development servers.,Network,Iron Man,Iron Man,Avengers,Service D,Low,High,Low,Closed,Medium,2025-03-28T03:43:54.000000,Friday,2025-03-28T06:43:54.000000,2025-03-29T10:43:54.000000,1
CHG-0000282,Certificate update for Palo Alto gatekeeping subnet for KL relocation network.,Facilities,Hulk,Hulk,Avengers,Service E,High,Medium,Low,Closed,Medium,2025-03-28T18:59:09.000000,Friday,2025-03-28T21:59:09.000000,2025-03-30T00:59:09.000000,4
CHG-0000283,Patch network appliances for compliance with wireless protocols.,Software,Iron Man,Iron Man,Avengers,Service C,Medium,Medium,High,Closed,Medium,2025-03-29T01:38:08.000000,Saturday,2025-03-29T09:38:08.000000,2025-03-29T20:38:08.000000,0
CHG-0000284,Grant access for backup recovery on production machine nodes in DR locations.,Software,Spiderman,Spiderman,Avengers II,Service E,High,Medium,Low,Closed,Medium,2025-03-30T00:04:05.000000,Sunday,2025-03-30T02:04:05.000000,2025-03-30T20:04:05.000000,4
CHG-0000285,ACI switchports configuration for work orders #REQ0155328 #REQ0147118 #REQ0152855.,Access,Shang Chi,Shang Chi,Avengers II,Service A,Medium,Low,Medium,Closed,High,2025-03-31T20:13:20.000000,Monday,2025-04-01T03:13:20.000000,2025-04-01T22:13:20.000000,5
CHG-0000286,UC4 Agent Installation on gcetcami001.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service B,High,Medium,Medium,Closed,Medium,2025-03-31T23:29:48.000000,Monday,2025-04-01T03:29:48.000000,2025-04-01T06:29:48.000000,5
CHG-0000287,Certificate renewal for Avatar development environment - Cloud Integration Testing Area.,Access,Thor,Thor,Avengers,Service E,Medium,Low,Medium,Closed,Critical,2025-04-01T02:20:08.000000,Tuesday,2025-04-01T09:20:08.000000,2025-04-01T13:20:08.000000,2
CHG-0000288,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Hardware,Thor,Thor,Avengers,Service D,Medium,Medium,Low,Closed,Medium,2025-04-01T19:44:20.000000,Tuesday,2025-04-02T03:44:20.000000,2025-04-03T02:44:20.000000,2
CHG-0000289,Updating the IDRAC remote board Firmware and BIOS for secffme2.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service D,Medium,Medium,High,Closed,High,2025-04-02T19:48:02.000000,Wednesday,2025-04-02T21:48:02.000000,2025-04-04T02:48:02.000000,3
CHG-0000290,Execute hardening measures for SQL server instances post security audit.,Complaint,Iron Man,Iron Man,Avengers,Service E,Medium,Medium,Low,Closed,Medium,2025-04-02T16:36:03.000000,Wednesday,2025-04-02T23:36:03.000000,2025-04-04T00:36:03.000000,1
CHG-0000291,Firewall configuration changes for disaster recovery validation testing.,Data,John Wick,John Wick,Matrix,Service A,High,Low,Medium,Closed,Medium,2025-04-03T23:04:42.000000,Thursday,2025-04-04T02:04:42.000000,2025-04-04T07:04:42.000000,2
CHG-0000292,Install Redis cluster monitoring tools in shard servers.,Access,Hulk,Hulk,Avengers,Service B,Medium,Low,Low,New,Medium,2025-04-03T10:30:44.000000,Thursday,,,2
CHG-0000293,Install httpd-tools on twgmmp01.zit.commerzbank.com.,Network,Captain America,Captain America,Avengers,Service E,High,High,Medium,Closed,Medium,2025-04-03T19:45:54.000000,Thursday,2025-04-04T02:45:54.000000,2025-04-05T14:45:54.000000,3
CHG-0000294,Enable database backups at sv273046 for production environment.,Network,Captain Marvel,Captain Marvel,Avengers II,Service D,Low,High,Low,Closed,Medium,2025-04-03T02:03:38.000000,Thursday,2025-04-03T09:03:38.000000,2025-04-04T03:03:38.000000,5
CHG-0000295,Firewall configuration changes for disaster recovery validation testing.,Software,John Cena,John Cena,Matrix,Service A,Low,High,Low,Closed,Medium,2025-04-04T07:39:08.000000,Friday,2025-04-04T09:39:08.000000,2025-04-05T16:39:08.000000,1
CHG-0000296,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Software,Batman,Batman,Matrix,Service C,Low,High,Medium,Closed,Medium,2025-04-04T20:50:44.000000,Friday,2025-04-05T03:50:44.000000,2025-04-05T19:50:44.000000,3
CHG-0000297,Deploy ACL rules for high-priority Office 365 tenants across European zones.,Failure,Iron Man,Iron Man,Avengers,Service E,Low,High,Low,Closed,High,2025-04-04T09:00:56.000000,Friday,2025-04-04T11:00:56.000000,2025-04-05T03:00:56.000000,2
CHG-0000298,Remote board SSL Cert renewal for anysgp15 & anysgp14.,Access,Thor,Thor,Avengers,Service B,Low,High,Low,Closed,High,2025-04-04T05:58:57.000000,Friday,2025-04-04T09:58:57.000000,2025-04-04T20:58:57.000000,0
CHG-0000299,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,High,Low,High,Closed,Medium,2025-04-04T04:28:19.000000,Friday,2025-04-04T08:28:19.000000,2025-04-05T20:28:19.000000,0
CHG-0000300,Restart tkmdbp01 of configuration change took longer than expected.,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,High,Low,Low,Closed,Medium,2025-04-05T18:15:14.000000,Saturday,2025-04-06T01:15:14.000000,2025-04-07T12:15:14.000000,4
CHG-0000301,Update IDRAC remote board Firmware and BIOS for forffm71.,Network,Iron Man,Iron Man,Avengers,Service E,Medium,Low,High,Closed,Low,2025-04-05T12:48:28.000000,Saturday,2025-04-05T17:48:28.000000,2025-04-07T05:48:28.000000,4
CHG-0000302,Execute systemctl daemon-reload on CSO VM (PROD).,Failure,Thor,Thor,Avengers,Service E,Low,Low,High,Closed,Medium,2025-04-06T14:47:56.000000,Sunday,2025-04-06T16:47:56.000000,2025-04-07T09:47:56.000000,2
CHG-0000303,"Remote board SSL Cert renewal for ressgpe0 , ressgpe1 , secsgpe0 & secsgpe1.",Access,Shang Chi,Shang Chi,Avengers II,Service D,Low,High,High,Closed,Low,2025-04-06T12:41:30.000000,Sunday,2025-04-06T16:41:30.000000,2025-04-07T18:41:30.000000,2
CHG-0000304,Install Redis cluster monitoring tools in shard servers.,Network,Loki,Loki,Avengers,Service A,Medium,Low,Low,Closed,Critical,2025-04-06T19:40:10.000000,Sunday,2025-04-07T02:40:10.000000,2025-04-07T17:40:10.000000,2
CHG-0000305,Update from RHEL8.9 to RHEL8.10 on database workloads (non-prod).,Software,Shang Chi,Shang Chi,Avengers II,Service B,Low,High,High,Closed,Critical,2025-04-07T10:44:57.000000,Monday,2025-04-07T17:44:57.000000,2025-04-08T21:44:57.000000,3
CHG-0000306,Online Banking external CB-APP onboarding on Radware On-prem environment.,Software,Thor,Thor,Avengers,Service E,High,Medium,High,Closed,Medium,2025-04-07T03:57:21.000000,Monday,2025-04-07T10:57:21.000000,2025-04-08T21:57:21.000000,2
CHG-0000307,Online Banking external CB-APP onboarding on Radware On-prem environment.,Network,Iron Man,Iron Man,Avengers,Service C,Medium,High,Low,Closed,High,2025-04-08T08:41:00.000000,Tuesday,2025-04-08T14:41:00.000000,2025-04-09T10:41:00.000000,5
