Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-9852,Access badge system not updating from central database,Complaint,John Cena,John Cena,Matrix,Service A,New,Low,High,High,High,2025-04-16T03:17:08.000000,,,0,3,Wednesday,1
CR-9853,Old password still granting access to system,Hardware,John Cena,John Cena,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-04-16T11:44:16.000000,2025-04-16T15:44:16.000000,2025-04-17T23:44:16.000000,0,1,Wednesday,1
CR-9854,Antivirus alert triggered on user workstation,Data,John Wick,John Wick,Matrix,Service A,Closed,Low,High,High,Low,2025-04-16T13:56:15.000000,2025-04-16T18:56:15.000000,2025-04-17T12:56:15.000000,1,2,Wednesday,0
CR-9855,Multi-factor authentication code not delivered to user,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,High,High,Medium,2025-04-16T11:15:47.000000,2025-04-16T17:15:47.000000,2025-04-17T10:15:47.000000,0,3,Wednesday,1
CR-9856,User profile not loading correctly after login,Data,Iron Man,Iron Man,Avengers,Service C,Closed,High,Critical,High,Medium,2025-04-16T20:06:44.000000,2025-04-17T00:06:44.000000,2025-04-17T03:06:44.000000,0,4,Wednesday,1
CR-9857,Frequent disconnections from remote desktop session,Data,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-04-16T01:28:41.000000,2025-04-16T03:28:41.000000,2025-04-16T18:28:41.000000,1,1,Wednesday,0
CR-9858,Printing jobs stuck in queue without error message,Access,Thor,Thor,Avengers,Service B,Closed,Low,Critical,High,High,2025-04-16T07:22:06.000000,2025-04-16T09:22:06.000000,2025-04-16T20:22:06.000000,0,3,Wednesday,1
CR-9859,Duplicate records appearing in customer database,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,High,High,2025-04-16T01:50:49.000000,2025-04-16T04:50:49.000000,2025-04-17T03:50:49.000000,0,3,Wednesday,1
CR-9860,Application response time extremely slow for multiple users,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,High,Medium,High,2025-04-16T19:30:52.000000,2025-04-17T01:30:52.000000,2025-04-17T11:30:52.000000,0,3,Wednesday,1
CR-9861,Auto-save not working in productivity application,Failure,Hulk,Hulk,Avengers,Service C,In Progress,High,Critical,High,Medium,2025-04-16T17:35:11.000000,2025-04-16T19:35:11.000000,,0,5,Wednesday,1
CR-9862,Single sign-on not working for cloud application,Network,John Cena,John Cena,Matrix,Service A,Closed,Medium,High,High,High,2025-04-16T15:35:40.000000,2025-04-16T22:35:40.000000,2025-04-17T11:35:40.000000,1,2,Wednesday,0
CR-9863,Delayed message delivery in internal chat system,Data,Thor,Thor,Avengers,Service C,On Hold,High,Low,Low,Low,2025-04-16T14:18:29.000000,,,0,1,Wednesday,1
CR-9864,Shared network drive not accessible,Data,Jack Sparrow,Jack Sparrow,Matrix,Service B,New,Low,Medium,Medium,Medium,2025-04-16T07:01:53.000000,,,0,1,Wednesday,1
CR-9865,Application not launching after latest OS update,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-04-16T04:13:21.000000,2025-04-16T12:13:21.000000,2025-04-16T21:13:21.000000,0,3,Wednesday,1
CR-9866,VoIP phone not registering with call manager,Failure,Batman,Batman,Matrix,Service B,Closed,High,High,High,High,2025-04-16T23:11:54.000000,2025-04-17T05:11:54.000000,2025-04-17T22:11:54.000000,0,2,Wednesday,1
CR-9867,Time synchronization issue causing authentication failures,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-04-16T16:07:21.000000,2025-04-16T20:07:21.000000,2025-04-17T14:07:21.000000,1,1,Wednesday,0
CR-9868,Local profile corrupted on shared workstation,Failure,Batman,Batman,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-04-16T14:54:35.000000,2025-04-16T18:54:35.000000,2025-04-18T06:54:35.000000,0,2,Wednesday,1
CR-9869,Single sign-on not working for cloud application,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,High,2025-04-16T20:56:04.000000,2025-04-16T22:56:04.000000,2025-04-17T10:56:04.000000,0,3,Wednesday,1
CR-9870,Frequent disconnections from remote desktop session,Hardware,Hulk,Hulk,Avengers,Service B,On Hold,High,Medium,Medium,Medium,2025-04-16T00:53:05.000000,,,0,1,Wednesday,1
CR-9871,Mobile app login failing for all users,Complaint,Captain America,Captain America,Avengers,Service C,On Hold,Medium,High,Medium,Medium,2025-04-16T18:54:00.000000,,,1,3,Wednesday,0
CR-9872,Time synchronization issue causing authentication failures,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Critical,High,High,2025-04-16T18:36:33.000000,2025-04-17T00:36:33.000000,2025-04-17T10:36:33.000000,0,4,Wednesday,1
CR-9873,Shared network drive not accessible,Data,Thor,Thor,Avengers,Service A,In Progress,High,Critical,High,High,2025-04-16T11:55:17.000000,2025-04-16T15:55:17.000000,,0,3,Wednesday,1
CR-9874,Incorrect display of currency values in front-end,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,High,High,High,2025-04-16T05:07:31.000000,2025-04-16T11:07:31.000000,2025-04-17T08:07:31.000000,0,2,Wednesday,1
CR-9875,Access badge system not updating from central database,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,High,High,2025-04-16T18:06:54.000000,2025-04-17T01:06:54.000000,2025-04-17T18:06:54.000000,0,2,Wednesday,1
CR-9876,Incorrect user mapping in identity provider,Software,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,Medium,2025-04-16T11:59:52.000000,2025-04-16T15:59:52.000000,2025-04-16T22:59:52.000000,0,3,Wednesday,1
CR-9877,USB device not recognized on workstation,Failure,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Low,2025-04-16T05:05:38.000000,2025-04-16T09:05:38.000000,2025-04-17T14:05:38.000000,0,2,Wednesday,1
CR-9878,Time synchronization issue causing authentication failures,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Low,Low,2025-04-16T03:53:17.000000,2025-04-16T07:53:17.000000,2025-04-17T03:53:17.000000,0,2,Wednesday,1
CR-9879,Network outage in specific office floor,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,High,High,2025-04-16T15:22:21.000000,2025-04-16T23:22:21.000000,2025-04-17T03:22:21.000000,0,4,Wednesday,1
CR-9880,Corrupted email attachments received internally,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,High,Medium,Medium,2025-04-16T23:27:51.000000,2025-04-17T07:27:51.000000,2025-04-18T01:27:51.000000,0,2,Wednesday,1
CR-9881,Multi-factor authentication code not delivered to user,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-04-16T22:00:39.000000,2025-04-17T05:00:39.000000,2025-04-18T10:00:39.000000,1,1,Wednesday,0
CR-9882,Intermittent connectivity issues to file server,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Medium,Low,Low,2025-04-16T19:25:24.000000,2025-04-16T22:25:24.000000,2025-04-18T07:25:24.000000,0,2,Wednesday,1
CR-9883,Intermittent packet loss on WAN link,Failure,Spiderman,Spiderman,Avengers II,Service A,New,Medium,Medium,Medium,Medium,2025-04-16T04:20:11.000000,,,0,1,Wednesday,1
CR-9884,High CPU usage on database server impacting performance,Complaint,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,High,High,2025-04-16T09:29:52.000000,2025-04-16T14:29:52.000000,2025-04-16T18:29:52.000000,0,5,Wednesday,1
CR-9885,Queue processing stuck in payment application,Complaint,Hulk,Hulk,Avengers,Service B,Closed,High,High,High,Medium,2025-04-16T00:56:18.000000,2025-04-16T07:56:18.000000,2025-04-17T05:56:18.000000,0,2,Wednesday,1
CR-9886,User unable to change expired password remotely,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-04-16T20:57:19.000000,2025-04-17T04:57:19.000000,2025-04-18T14:57:19.000000,0,1,Wednesday,1
CR-9887,User account locked after multiple failed login attempts,Failure,John Wick,John Wick,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-04-16T03:00:00.000000,2025-04-16T05:00:00.000000,2025-04-17T17:00:00.000000,0,1,Wednesday,1
CR-9888,Frequent password prompts despite valid authentication,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-04-16T22:08:55.000000,2025-04-17T05:08:55.000000,2025-04-18T01:08:55.000000,0,1,Wednesday,1
CR-9889,Barcode scanner not transmitting data to system,Complaint,Neo,Neo,Matrix,Service A,Closed,Low,Medium,Low,Low,2025-04-16T04:44:49.000000,2025-04-16T12:44:49.000000,2025-04-17T02:44:49.000000,0,1,Wednesday,1
CR-9890,Incorrect permissions on shared folder causing access denied,Network,Batman,Batman,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-04-16T07:06:29.000000,2025-04-16T13:06:29.000000,2025-04-17T17:06:29.000000,0,2,Wednesday,1
CR-9891,Frequent password prompts despite valid authentication,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,New,Medium,Medium,Medium,Medium,2025-04-16T16:35:18.000000,,,0,2,Wednesday,1
CR-9892,Error while uploading documents to intranet portal,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Medium,Low,Low,2025-04-16T04:53:38.000000,2025-04-16T11:53:38.000000,2025-04-16T23:53:38.000000,0,1,Wednesday,1
CR-9893,Auto-save not working in productivity application,Network,Thor,Thor,Avengers,Service C,Closed,Medium,High,High,High,2025-04-16T04:12:26.000000,2025-04-16T09:12:26.000000,2025-04-17T08:12:26.000000,0,3,Wednesday,1
CR-9894,Incorrect data displayed in reporting dashboard,Complaint,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-04-16T09:59:55.000000,2025-04-16T11:59:55.000000,2025-04-16T20:59:55.000000,0,4,Wednesday,1
CR-9895,Antivirus alert triggered on user workstation,Complaint,Loki,Loki,Avengers,Service B,Closed,Low,High,Medium,High,2025-04-16T06:21:44.000000,2025-04-16T13:21:44.000000,2025-04-17T01:21:44.000000,0,2,Wednesday,1
CR-9896,Endpoint disk space critically low warning,Access,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-04-16T15:44:04.000000,2025-04-16T18:44:04.000000,2025-04-17T02:44:04.000000,0,5,Wednesday,1
CR-9897,Error while uploading documents to intranet portal,Failure,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-04-16T06:09:22.000000,2025-04-16T14:09:22.000000,2025-04-17T00:09:22.000000,0,3,Wednesday,1
CR-9898,Incorrect permissions on shared folder causing access denied,Access,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-04-16T14:03:59.000000,2025-04-16T18:03:59.000000,2025-04-16T20:03:59.000000,0,3,Wednesday,1
CR-9899,User unable to access HR portal,Software,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-04-16T23:30:03.000000,2025-04-17T02:30:03.000000,2025-04-17T04:30:03.000000,0,3,Wednesday,1
CR-9900,Email client not connecting to mail server,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,Medium,Medium,2025-04-16T11:25:36.000000,2025-04-16T18:25:36.000000,2025-04-17T08:25:36.000000,1,3,Wednesday,0
CR-9901,Local profile corrupted on shared workstation,Failure,Shang Chi,Shang Chi,Avengers II,Service A,On Hold,Medium,High,High,High,2025-04-16T12:04:57.000000,,,0,2,Wednesday,1
CR-9902,Printer not printing documents from any workstation,Software,John Wick,John Wick,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-04-16T18:11:09.000000,2025-04-16T23:11:09.000000,2025-04-18T01:11:09.000000,0,1,Wednesday,1
CR-9903,Incorrect data displayed in reporting dashboard,Software,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-04-16T06:35:48.000000,2025-04-16T09:35:48.000000,2025-04-16T13:35:48.000000,0,5,Wednesday,1
CR-9904,Auto-save not working in productivity application,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,High,High,High,2025-04-16T22:45:24.000000,2025-04-17T05:45:24.000000,2025-04-17T15:45:24.000000,0,3,Wednesday,1
CR-9905,Firewall blocking legitimate traffic to partner system,Network,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,High,High,2025-04-16T18:02:04.000000,2025-04-16T20:02:04.000000,2025-04-16T21:02:04.000000,0,4,Wednesday,1
CR-9906,User unable to change expired password remotely,Hardware,John Wick,John Wick,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-04-16T15:13:28.000000,2025-04-16T22:13:28.000000,2025-04-17T13:13:28.000000,0,1,Wednesday,1
CR-9907,Application response time extremely slow for multiple users,Software,Neo,Neo,Matrix,Service C,New,High,Medium,Low,Medium,2025-04-16T15:49:45.000000,,,0,1,Wednesday,1
CR-9908,Old password still granting access to system,Network,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,High,2025-04-16T08:50:27.000000,2025-04-16T11:50:27.000000,2025-04-16T12:50:27.000000,0,5,Wednesday,1
CR-9909,User not receiving password reset email,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,High,High,High,2025-04-16T00:37:22.000000,2025-04-16T04:37:22.000000,2025-04-17T01:37:22.000000,0,3,Wednesday,1
CR-9910,Single user laptop not connecting to Wi-Fi,Failure,Captain America,Captain America,Avengers,Service A,Closed,Medium,Medium,Low,Medium,2025-04-16T21:26:24.000000,2025-04-17T05:26:24.000000,2025-04-18T04:26:24.000000,0,2,Wednesday,1
CR-9911,SSL certificate error when accessing internal site,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-04-16T07:33:45.000000,2025-04-16T14:33:45.000000,2025-04-17T06:33:45.000000,0,1,Wednesday,1
CR-9912,Application crash when user attempts specific function,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-04-16T17:57:32.000000,2025-04-17T01:57:32.000000,2025-04-17T12:57:32.000000,0,3,Wednesday,1
CR-9913,Unexpected high memory usage on web server,Hardware,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,High,2025-04-16T08:35:03.000000,2025-04-16T12:35:03.000000,2025-04-17T00:35:03.000000,0,4,Wednesday,1
CR-9914,Network printer not visible in device list,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,High,Medium,Low,2025-04-16T23:22:30.000000,2025-04-17T02:22:30.000000,2025-04-18T00:22:30.000000,1,2,Wednesday,0
CR-9915,Auto-save not working in productivity application,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,High,High,High,2025-04-16T08:29:35.000000,2025-04-16T16:29:35.000000,2025-04-17T06:29:35.000000,0,2,Wednesday,1
CR-9916,Firewall blocking legitimate traffic to partner system,Data,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,Medium,2025-04-16T10:06:40.000000,2025-04-16T18:06:40.000000,2025-04-17T05:06:40.000000,0,4,Wednesday,1
CR-9917,Incorrect group membership causing access escalation,Complaint,Neo,Neo,Matrix,Service B,Closed,High,High,Medium,High,2025-04-16T08:35:53.000000,2025-04-16T11:35:53.000000,2025-04-17T01:35:53.000000,0,2,Wednesday,1
CR-9918,User unable to access HR portal,Failure,John Wick,John Wick,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-04-16T00:58:19.000000,2025-04-16T07:58:19.000000,2025-04-17T07:58:19.000000,1,1,Wednesday,0
CR-9919,Printer not printing documents from any workstation,Complaint,John Wick,John Wick,Matrix,Service A,Closed,Medium,Critical,High,High,2025-04-16T05:17:58.000000,2025-04-16T10:17:58.000000,2025-04-16T18:17:58.000000,0,3,Wednesday,1
CR-9920,User profile not loading correctly after login,Failure,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Critical,High,High,2025-04-16T00:35:03.000000,2025-04-16T02:35:03.000000,2025-04-16T08:35:03.000000,0,4,Wednesday,1
CR-9921,Multi-factor authentication code not delivered to user,Access,Batman,Batman,Matrix,Service B,Closed,High,Low,Low,Low,2025-04-16T13:09:39.000000,2025-04-16T20:09:39.000000,2025-04-19T11:09:39.000000,0,0,Wednesday,1
CR-9922,External website not reachable from corporate network,Complaint,John Wick,John Wick,Matrix,Service B,Closed,Low,Critical,High,Medium,2025-04-16T13:24:07.000000,2025-04-16T15:24:07.000000,2025-04-16T23:24:07.000000,0,3,Wednesday,1
CR-9923,Single user laptop not connecting to Wi-Fi,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,In Progress,High,Low,Low,Low,2025-04-16T06:23:31.000000,2025-04-16T09:23:31.000000,,0,0,Wednesday,1
CR-9924,Old password still granting access to system,Data,Batman,Batman,Matrix,Service A,Closed,Low,Low,Low,Low,2025-04-16T18:30:01.000000,2025-04-16T23:30:01.000000,2025-04-19T11:30:01.000000,0,0,Wednesday,1
CR-9925,USB device not recognized on workstation,Data,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-04-16T06:17:59.000000,2025-04-16T08:17:59.000000,2025-04-16T09:17:59.000000,0,3,Wednesday,1
CR-9926,Network latency observed between data center and branch office,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Medium,Low,Low,2025-04-16T23:03:37.000000,2025-04-17T05:03:37.000000,2025-04-17T22:03:37.000000,0,2,Wednesday,1
CR-9927,Endpoint disk space critically low warning,Failure,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Critical,High,High,2025-04-16T09:00:48.000000,2025-04-16T16:00:48.000000,2025-04-16T18:00:48.000000,0,5,Wednesday,1
CR-9928,Printing jobs stuck in queue without error message,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,In Progress,High,Medium,Medium,Medium,2025-04-16T06:30:46.000000,2025-04-16T10:30:46.000000,,0,1,Wednesday,1
CR-9929,Duplicate records appearing in customer database,Network,Captain America,Captain America,Avengers,Service A,In Progress,Low,Critical,High,High,2025-04-16T04:00:57.000000,2025-04-16T09:00:57.000000,,0,5,Wednesday,1
CR-9930,User’s mailbox not receiving external emails,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Critical,High,High,2025-04-16T13:19:51.000000,2025-04-16T18:19:51.000000,2025-04-16T20:19:51.000000,0,5,Wednesday,1
CR-9931,Antivirus alert triggered on user workstation,Failure,John Wick,John Wick,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-04-16T15:16:45.000000,2025-04-16T23:16:45.000000,2025-04-17T18:16:45.000000,0,2,Wednesday,1
CR-9932,User not receiving password reset email,Network,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-04-16T20:12:19.000000,2025-04-17T00:12:19.000000,2025-04-17T11:12:19.000000,0,4,Wednesday,1
CR-9933,Time-out errors when accessing CRM system,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Critical,High,High,2025-04-16T20:20:40.000000,2025-04-17T03:20:40.000000,2025-04-17T09:20:40.000000,0,5,Wednesday,1
CR-9934,Application response time extremely slow for multiple users,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Low,Low,Low,2025-04-16T22:50:31.000000,2025-04-17T04:50:31.000000,2025-04-19T08:50:31.000000,0,1,Wednesday,1
CR-9935,High CPU usage on database server impacting performance,Network,Loki,Loki,Avengers,Service C,Closed,High,Low,Low,Low,2025-04-16T11:27:30.000000,2025-04-16T16:27:30.000000,2025-04-18T15:27:30.000000,0,1,Wednesday,1
CR-9936,Frequent password prompts despite valid authentication,Network,Neo,Neo,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-04-16T12:33:56.000000,2025-04-16T18:33:56.000000,2025-04-17T19:33:56.000000,0,2,Wednesday,1
CR-9937,User profile not loading correctly after login,Data,Thor,Thor,Avengers,Service B,Closed,Low,Critical,High,High,2025-04-16T13:40:49.000000,2025-04-16T20:40:49.000000,2025-04-17T02:40:49.000000,0,3,Wednesday,1
CR-9938,Intermittent packet loss on WAN link,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,High,High,High,2025-04-17T12:43:45.000000,2025-04-17T14:43:45.000000,2025-04-18T03:43:45.000000,1,2,Thursday,0
CR-9939,Printing jobs stuck in queue without error message,Software,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-04-17T15:35:52.000000,2025-04-17T18:35:52.000000,2025-04-18T14:35:52.000000,0,1,Thursday,1
CR-9940,User home drive not mapping at login,Network,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,High,2025-04-17T04:01:28.000000,2025-04-17T11:01:28.000000,2025-04-17T17:01:28.000000,0,4,Thursday,1
CR-9941,Access badge system not updating from central database,Network,Thor,Thor,Avengers,Service C,Closed,High,High,High,High,2025-04-17T11:26:54.000000,2025-04-17T17:26:54.000000,2025-04-18T08:26:54.000000,0,2,Thursday,1
CR-9942,SSL certificate error when accessing internal site,Access,Captain America,Captain America,Avengers,Service C,On Hold,Low,Medium,Medium,Medium,2025-04-17T13:54:13.000000,,,0,2,Thursday,1
CR-9943,Corrupt file detected in document management system,Network,John Wick,John Wick,Matrix,Service A,New,Medium,Low,Low,Low,2025-04-17T11:22:38.000000,,,0,1,Thursday,1
CR-9944,Queue processing stuck in payment application,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Medium,Medium,Medium,Low,2025-04-17T05:59:14.000000,2025-04-17T13:59:14.000000,2025-04-18T21:59:14.000000,0,2,Thursday,1
CR-9945,User unable to change expired password remotely,Data,Loki,Loki,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-04-17T07:25:06.000000,2025-04-17T13:25:06.000000,2025-04-18T01:25:06.000000,1,1,Thursday,0
CR-9946,Old password still granting access to system,Facilities,Neo,Neo,Matrix,Service C,Closed,High,Medium,Low,Low,2025-04-17T02:58:41.000000,2025-04-17T06:58:41.000000,2025-04-17T20:58:41.000000,0,2,Thursday,1
CR-9947,User unable to open encrypted email,Software,Captain America,Captain America,Avengers,Service B,Closed,Low,High,Medium,High,2025-04-17T18:44:29.000000,2025-04-18T00:44:29.000000,2025-04-18T16:44:29.000000,0,3,Thursday,1
CR-9948,VoIP phone not registering with call manager,Network,Loki,Loki,Avengers,Service B,Closed,High,High,Medium,High,2025-04-17T06:52:16.000000,2025-04-17T13:52:16.000000,2025-04-17T20:52:16.000000,0,2,Thursday,1
CR-9949,Printer not printing documents from any workstation,Access,Loki,Loki,Avengers,Service B,New,Medium,Low,Low,Low,2025-04-17T17:57:18.000000,,,0,1,Thursday,1
CR-9950,Incorrect permissions on shared folder causing access denied,Data,John Wick,John Wick,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-04-17T08:56:20.000000,2025-04-17T15:56:20.000000,2025-04-18T22:56:20.000000,1,1,Thursday,0
CR-9951,Frequent password prompts despite valid authentication,Network,Iron Man,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-04-17T00:43:02.000000,2025-04-17T05:43:02.000000,2025-04-18T03:43:02.000000,0,1,Thursday,1
CR-9952,Time-out errors when accessing CRM system,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,High,High,2025-04-17T22:02:23.000000,2025-04-18T02:02:23.000000,2025-04-18T09:02:23.000000,1,5,Thursday,0
CR-9953,Time-out errors when accessing CRM system,Facilities,Iron Man,Iron Man,Avengers,Service B,New,High,High,High,High,2025-04-17T13:28:49.000000,,,1,3,Thursday,0
CR-9954,Frequent password prompts despite valid authentication,Facilities,John Cena,John Cena,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-04-17T13:21:49.000000,2025-04-17T17:21:49.000000,2025-04-18T16:21:49.000000,0,1,Thursday,1
CR-9955,Corrupt file detected in document management system,Software,Captain America,Captain America,Avengers,Service B,Closed,Medium,High,High,High,2025-04-17T21:59:29.000000,2025-04-18T04:59:29.000000,2025-04-18T13:59:29.000000,0,3,Thursday,1
CR-9956,Scheduled report not generated or delivered,Hardware,John Cena,John Cena,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-04-17T21:23:03.000000,2025-04-18T03:23:03.000000,2025-04-19T13:23:03.000000,0,0,Thursday,1
CR-9957,User’s mailbox not receiving external emails,Software,Thor,Thor,Avengers,Service B,On Hold,High,High,High,Medium,2025-04-17T21:04:20.000000,,,0,3,Thursday,1
CR-9958,Incorrect language settings applied to user interface,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,High,High,Medium,2025-04-17T22:09:33.000000,2025-04-18T02:09:33.000000,2025-04-18T11:09:33.000000,0,3,Thursday,1
CR-9959,Local profile corrupted on shared workstation,Data,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Low,2025-04-17T20:59:13.000000,2025-04-18T01:59:13.000000,2025-04-19T00:59:13.000000,0,1,Thursday,1
CR-9960,Unexpected application log errors after deployment,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-04-17T20:56:35.000000,2025-04-18T02:56:35.000000,2025-04-19T03:56:35.000000,0,1,Thursday,1
CR-9961,Data export from system failing with error,Network,Batman,Batman,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-04-17T00:48:31.000000,2025-04-17T06:48:31.000000,2025-04-18T13:48:31.000000,0,2,Thursday,1
CR-9962,Time-out errors when accessing CRM system,Network,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-04-17T08:17:19.000000,2025-04-17T16:17:19.000000,2025-04-18T00:17:19.000000,0,4,Thursday,1
CR-9963,Unexpected high memory usage on web server,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-04-17T12:00:26.000000,2025-04-17T19:00:26.000000,2025-04-18T09:00:26.000000,0,2,Thursday,1
CR-9964,User unable to access HR portal,Data,Jack Sparrow,Jack Sparrow,Matrix,Service C,On Hold,High,Medium,Medium,Low,2025-04-17T18:08:56.000000,,,0,2,Thursday,1
CR-9965,Unexpected application log errors after deployment,Data,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,High,2025-04-17T07:58:02.000000,2025-04-17T10:58:02.000000,2025-04-17T17:58:02.000000,0,3,Thursday,1
CR-9966,Multiple users experiencing Outlook crashes,Network,Captain America,Captain America,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-04-17T22:16:28.000000,2025-04-18T05:16:28.000000,2025-04-19T09:16:28.000000,0,2,Thursday,1
CR-9967,Unexpected application log errors after deployment,Data,John Wick,John Wick,Matrix,Service A,Closed,Medium,High,High,High,2025-04-17T08:58:55.000000,2025-04-17T13:58:55.000000,2025-04-18T05:58:55.000000,1,3,Thursday,0
CR-9968,Queue processing stuck in payment application,Complaint,Spiderman,Spiderman,Avengers II,Service B,Closed,Medium,Medium,Low,Low,2025-04-17T06:34:24.000000,2025-04-17T10:34:24.000000,2025-04-18T20:34:24.000000,0,2,Thursday,1
CR-9969,SSL certificate error when accessing internal site,Hardware,Neo,Neo,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-04-17T00:42:06.000000,2025-04-17T06:42:06.000000,2025-04-17T21:42:06.000000,0,2,Thursday,1
CR-9970,Frequent password prompts despite valid authentication,Hardware,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,High,2025-04-17T08:52:28.000000,2025-04-17T10:52:28.000000,2025-04-17T15:52:28.000000,1,5,Thursday,0
