Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-1364,Frequent account lockouts for multiple users,Facilities,Hulk,Hulk,Avengers,Service A,Closed,High,Low,Low,Low,2025-04-06T00:24:15.000000,2025-04-06T06:24:15.000000,2025-04-07T16:24:15.000000,0,1,Sunday,1,6.0,34.0,40.0,0,2025-14
CR-1365,Recurring problems with email calendar synchronization,Access,Thor,Thor,Avengers,Service B,On Hold,Low,Critical,High,High,2025-04-07T23:57:20.000000,,,0,3,Monday,1,,,,0,2025-15
CR-1366,Random freezing of operating system on virtual desktops,Facilities,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,Medium,High,2025-04-07T00:35:05.000000,2025-04-07T08:35:05.000000,2025-04-07T18:35:05.000000,0,2,Monday,1,8.0,10.0,18.0,1,2025-15
CR-1367,Recurring DNS resolution failures for internal hostnames,Hardware,Loki,Loki,Avengers,Service C,Closed,Medium,Critical,High,Medium,2025-04-07T21:49:41.000000,2025-04-08T04:49:41.000000,2025-04-08T10:49:41.000000,1,5,Monday,0,7.0,6.0,13.0,1,2025-15
CR-1368,Intermittent login issues after password changes,Data,Loki,Loki,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-04-07T06:56:10.000000,2025-04-07T13:56:10.000000,2025-04-08T08:56:10.000000,0,1,Monday,1,7.0,19.0,26.0,0,2025-15
CR-1369,Recurring printing failures for specific printer models,Complaint,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-04-07T16:03:22.000000,2025-04-07T19:03:22.000000,2025-04-07T23:03:22.000000,0,3,Monday,1,3.0,4.0,7.0,0,2025-15
CR-1370,Inconsistent permission errors on shared folders,Facilities,Neo,Neo,Matrix,Service B,Closed,Low,High,High,Low,2025-04-07T18:11:09.000000,2025-04-08T02:11:09.000000,2025-04-08T16:11:09.000000,0,3,Monday,1,8.0,14.0,22.0,1,2025-15
CR-1371,Unreliable backup completion for certain file shares,Access,Spiderman,Spiderman,Avengers II,Service C,New,Medium,High,High,High,2025-04-07T16:23:58.000000,,,0,3,Monday,1,,,,0,2025-15
CR-1372,Inconsistent behavior of multi-factor authentication prompts,Failure,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,High,High,2025-04-07T22:39:13.000000,2025-04-08T00:39:13.000000,2025-04-08T18:39:13.000000,0,2,Monday,1,2.0,18.0,20.0,1,2025-15
CR-1373,Unreliable backup completion for certain file shares,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,High,High,Low,2025-04-07T11:52:53.000000,2025-04-07T17:52:53.000000,2025-04-08T15:52:53.000000,0,3,Monday,1,6.0,22.0,28.0,1,2025-15
CR-1374,Periodic high CPU usage on database server causing slow queries,Complaint,Loki,Loki,Avengers,Service C,Closed,Medium,Critical,High,High,2025-04-07T02:36:32.000000,2025-04-07T09:36:32.000000,2025-04-07T19:36:32.000000,0,5,Monday,1,7.0,10.0,17.0,1,2025-15
CR-1375,Intermittent failures of web proxy authentication,Network,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-04-07T20:17:20.000000,2025-04-08T01:17:20.000000,2025-04-08T04:17:20.000000,0,4,Monday,1,5.0,3.0,8.0,0,2025-15
CR-1376,Inconsistent application behavior after automated updates,Facilities,Loki,Loki,Avengers,Service B,New,High,Medium,Low,Medium,2025-04-07T11:01:00.000000,,,0,1,Monday,1,,,,0,2025-15
CR-1377,Recurring performance degradation on core banking application,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Medium,High,Medium,High,2025-04-07T05:33:12.000000,2025-04-07T09:33:12.000000,2025-04-07T21:33:12.000000,0,3,Monday,1,4.0,12.0,16.0,1,2025-15
CR-1378,Frequent account lockouts for multiple users,Failure,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-04-07T15:26:43.000000,2025-04-07T17:26:43.000000,2025-04-09T03:26:43.000000,1,1,Monday,0,2.0,34.0,36.0,1,2025-15
CR-1379,Recurring DNS resolution failures for internal hostnames,Access,John Wick,John Wick,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-04-07T16:40:55.000000,2025-04-07T18:40:55.000000,2025-04-08T19:40:55.000000,0,2,Monday,1,2.0,25.0,27.0,1,2025-15
CR-1380,Random application crashes on client workstations,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Critical,High,High,2025-04-07T22:08:14.000000,2025-04-08T01:08:14.000000,2025-04-08T03:08:14.000000,0,5,Monday,1,3.0,2.0,5.0,0,2025-15
CR-1381,Inconsistent application behavior after automated updates,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Medium,Medium,Low,2025-04-07T13:16:44.000000,2025-04-07T17:16:44.000000,2025-04-08T11:16:44.000000,0,1,Monday,1,4.0,18.0,22.0,0,2025-15
CR-1382,Recurring errors in CRM system data synchronization,Complaint,Loki,Loki,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-04-07T18:58:02.000000,2025-04-07T23:58:02.000000,2025-04-08T15:58:02.000000,0,1,Monday,1,5.0,16.0,21.0,0,2025-15
CR-1383,Periodic issues with remote desktop sessions not reconnecting,Facilities,Captain America,Captain America,Avengers,Service B,Closed,High,High,High,Medium,2025-04-07T01:09:27.000000,2025-04-07T05:09:27.000000,2025-04-07T11:09:27.000000,0,3,Monday,1,4.0,6.0,10.0,0,2025-15
CR-1384,Recurring printer spooler service failures on print server,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Low,Low,Low,2025-04-07T00:00:04.000000,2025-04-07T06:00:04.000000,2025-04-09T16:00:04.000000,1,0,Monday,0,6.0,58.0,64.0,1,2025-15
CR-1385,Recurring high latency reported in video conferencing sessions,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,High,Medium,Medium,2025-04-07T11:11:17.000000,2025-04-07T15:11:17.000000,2025-04-08T06:11:17.000000,0,2,Monday,1,4.0,15.0,19.0,1,2025-15
CR-1386,Frequent errors in scheduled report generation processes,Network,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-04-07T22:04:14.000000,2025-04-08T04:04:14.000000,2025-04-08T07:04:14.000000,0,3,Monday,1,6.0,3.0,9.0,0,2025-15
CR-1387,Scheduled batch jobs failing intermittently without clear error,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-04-07T10:45:05.000000,2025-04-07T15:45:05.000000,2025-04-08T18:45:05.000000,0,1,Monday,1,5.0,27.0,32.0,1,2025-15
CR-1388,Unexplained slow logon times for domain users,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Low,Low,2025-04-07T18:45:10.000000,2025-04-08T02:45:10.000000,2025-04-08T22:45:10.000000,0,1,Monday,1,8.0,20.0,28.0,0,2025-15
CR-1389,Recurring performance degradation on core banking application,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,High,High,2025-04-07T11:25:26.000000,2025-04-07T16:25:26.000000,2025-04-08T07:25:26.000000,0,3,Monday,1,5.0,15.0,20.0,1,2025-15
CR-1390,Slow file access on shared network drives during business hours,Complaint,Batman,Batman,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-04-07T19:42:19.000000,2025-04-08T00:42:19.000000,2025-04-08T21:42:19.000000,0,2,Monday,1,5.0,21.0,26.0,0,2025-15
CR-1391,Unexplained slow logon times for domain users,Failure,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,High,Medium,High,2025-04-07T14:20:26.000000,2025-04-07T21:20:26.000000,2025-04-08T21:20:26.000000,0,3,Monday,1,7.0,24.0,31.0,1,2025-15
CR-1392,Random failures in software deployment to endpoints,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,High,Medium,High,2025-04-08T15:36:31.000000,2025-04-08T19:36:31.000000,2025-04-09T06:36:31.000000,1,3,Tuesday,0,4.0,11.0,15.0,1,2025-15
CR-1393,Intermittent VoIP call quality issues and audio dropouts,Hardware,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-04-08T22:56:29.000000,2025-04-09T00:56:29.000000,2025-04-10T06:56:29.000000,0,1,Tuesday,1,2.0,30.0,32.0,1,2025-15
CR-1394,Intermittent connectivity issues to cloud-hosted applications,Network,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Low,Low,Low,2025-04-08T01:06:31.000000,2025-04-08T03:06:31.000000,2025-04-10T07:06:31.000000,0,1,Tuesday,1,2.0,52.0,54.0,1,2025-15
CR-1395,Recurring SSL certificate errors for internal applications,Access,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Critical,High,High,2025-04-08T14:22:48.000000,2025-04-08T20:22:48.000000,2025-04-09T03:22:48.000000,0,5,Tuesday,1,6.0,7.0,13.0,1,2025-15
CR-1396,Recurring printer spooler service failures on print server,Failure,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-04-08T01:13:21.000000,2025-04-08T04:13:21.000000,2025-04-08T15:13:21.000000,0,5,Tuesday,1,3.0,11.0,14.0,1,2025-15
CR-1397,Intermittent failures of web proxy authentication,Facilities,Neo,Neo,Matrix,Service B,On Hold,Medium,Medium,Low,Medium,2025-04-08T06:51:10.000000,,,0,1,Tuesday,1,,,,0,2025-15
CR-1398,Random system reboots on specific hardware model,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-04-08T18:30:02.000000,2025-04-08T21:30:02.000000,2025-04-09T03:30:02.000000,0,3,Tuesday,1,3.0,6.0,9.0,1,2025-15
CR-1399,Periodic high CPU usage on database server causing slow queries,Facilities,Batman,Batman,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-04-08T22:27:40.000000,2025-04-09T06:27:40.000000,2025-04-09T19:27:40.000000,0,2,Tuesday,1,8.0,13.0,21.0,0,2025-15
CR-1400,Unstable Wi-Fi coverage in specific office area,Data,Loki,Loki,Avengers,Service A,Closed,Medium,High,High,High,2025-04-08T19:56:21.000000,2025-04-08T21:56:21.000000,2025-04-09T06:56:21.000000,0,3,Tuesday,1,2.0,9.0,11.0,1,2025-15
CR-1401,Frequent VPN disconnections during peak hours,Data,John Wick,John Wick,Matrix,Service C,Closed,Low,Low,Low,Low,2025-04-08T19:43:36.000000,2025-04-09T00:43:36.000000,2025-04-10T11:43:36.000000,1,1,Tuesday,0,5.0,35.0,40.0,0,2025-15
CR-1402,Recurring problems with email calendar synchronization,Hardware,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-04-08T09:39:12.000000,2025-04-08T16:39:12.000000,2025-04-09T02:39:12.000000,0,3,Tuesday,1,7.0,10.0,17.0,1,2025-15
CR-1403,Inconsistent access to archived email system,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,High,High,High,2025-04-08T04:29:22.000000,2025-04-08T06:29:22.000000,2025-04-08T22:29:22.000000,0,3,Tuesday,1,2.0,16.0,18.0,1,2025-15
CR-1404,Frequent errors in scheduled report generation processes,Network,Loki,Loki,Avengers,Service A,Closed,Low,Critical,High,Medium,2025-04-08T07:32:06.000000,2025-04-08T15:32:06.000000,2025-04-08T16:32:06.000000,0,4,Tuesday,1,8.0,1.0,9.0,0,2025-15
CR-1405,Recurring high latency reported in video conferencing sessions,Access,Hulk,Hulk,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-04-08T04:07:14.000000,2025-04-08T10:07:14.000000,2025-04-09T00:07:14.000000,0,2,Tuesday,1,6.0,14.0,20.0,0,2025-15
CR-1406,Random application crashes on client workstations,Software,John Cena,John Cena,Matrix,Service C,Closed,High,Critical,High,High,2025-04-08T20:01:53.000000,2025-04-09T03:01:53.000000,2025-04-09T13:01:53.000000,0,3,Tuesday,1,7.0,10.0,17.0,1,2025-15
CR-1407,Intermittent failures when connecting to external partner systems,Software,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,Medium,2025-04-08T14:56:00.000000,2025-04-08T20:56:00.000000,2025-04-08T22:56:00.000000,0,3,Tuesday,1,6.0,2.0,8.0,0,2025-15
CR-1408,Periodic high CPU usage on database server causing slow queries,Hardware,Batman,Batman,Matrix,Service A,Closed,Medium,Critical,High,Medium,2025-04-08T16:53:28.000000,2025-04-08T19:53:28.000000,2025-04-08T22:53:28.000000,0,5,Tuesday,1,3.0,3.0,6.0,0,2025-15
CR-1409,Intermittent network connectivity issues reported by multiple users,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Low,Low,Low,2025-04-08T02:59:31.000000,2025-04-08T08:59:31.000000,2025-04-11T05:59:31.000000,0,0,Tuesday,1,6.0,69.0,75.0,1,2025-15
CR-1410,Recurring errors in CRM system data synchronization,Facilities,Spiderman,Spiderman,Avengers II,Service A,On Hold,Low,High,High,High,2025-04-08T21:32:26.000000,,,0,2,Tuesday,1,,,,0,2025-15
CR-1411,Recurring problems with email calendar synchronization,Hardware,Loki,Loki,Avengers,Service C,New,Medium,Medium,Medium,Medium,2025-04-08T03:24:28.000000,,,0,1,Tuesday,1,,,,0,2025-15
CR-1412,Recurring DNS resolution failures for internal hostnames,Access,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Critical,High,High,2025-04-08T16:37:50.000000,2025-04-08T22:37:50.000000,2025-04-09T07:37:50.000000,0,4,Tuesday,1,6.0,9.0,15.0,1,2025-15
CR-1413,Unexplained slow logon times for domain users,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,Medium,High,2025-04-08T20:42:26.000000,2025-04-08T22:42:26.000000,2025-04-09T05:42:26.000000,0,3,Tuesday,1,2.0,7.0,9.0,0,2025-15
CR-1414,Unstable Wi-Fi coverage in specific office area,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,High,2025-04-08T18:49:31.000000,2025-04-08T20:49:31.000000,2025-04-09T12:49:31.000000,0,3,Tuesday,1,2.0,16.0,18.0,1,2025-15
CR-1415,Inconsistent application behavior after automated updates,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Critical,High,High,2025-04-08T07:41:17.000000,2025-04-08T13:41:17.000000,2025-04-08T23:41:17.000000,0,3,Tuesday,1,6.0,10.0,16.0,1,2025-15
CR-1416,Random loss of mapped network drives on login,Data,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-04-08T13:40:10.000000,2025-04-08T15:40:10.000000,2025-04-09T02:40:10.000000,0,4,Tuesday,1,2.0,11.0,13.0,1,2025-15
CR-1417,Random system reboots on specific hardware model,Access,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Critical,High,High,2025-04-08T13:54:40.000000,2025-04-08T21:54:40.000000,2025-04-09T02:54:40.000000,0,3,Tuesday,1,8.0,5.0,13.0,1,2025-15
CR-1418,Random failures in software deployment to endpoints,Failure,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Medium,Low,2025-04-09T22:55:46.000000,2025-04-10T00:55:46.000000,2025-04-10T16:55:46.000000,1,2,Wednesday,0,2.0,16.0,18.0,0,2025-15
CR-1419,Random freezing of operating system on virtual desktops,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Medium,Low,2025-04-09T09:05:38.000000,2025-04-09T15:05:38.000000,2025-04-10T15:05:38.000000,1,2,Wednesday,0,6.0,24.0,30.0,0,2025-15
CR-1420,Unstable Wi-Fi coverage in specific office area,Hardware,Captain America,Captain America,Avengers,Service A,In Progress,Low,Low,Low,Low,2025-04-09T05:20:09.000000,2025-04-09T09:20:09.000000,,0,0,Wednesday,1,4.0,,,0,2025-15
CR-1421,Frequent corruption of user profiles on shared workstations,Complaint,Batman,Batman,Matrix,Service C,Closed,Medium,High,Medium,High,2025-04-09T08:45:40.000000,2025-04-09T15:45:40.000000,2025-04-10T09:45:40.000000,0,3,Wednesday,1,7.0,18.0,25.0,1,2025-15
CR-1422,Recurring DNS resolution failures for internal hostnames,Network,Spiderman,Spiderman,Avengers II,Service B,On Hold,Low,Medium,Medium,Medium,2025-04-09T15:39:11.000000,,,0,2,Wednesday,1,,,,0,2025-15
CR-1423,Inconsistent behavior of multi-factor authentication prompts,Access,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,High,High,High,2025-04-09T09:50:51.000000,2025-04-09T13:50:51.000000,2025-04-10T02:50:51.000000,0,2,Wednesday,1,4.0,13.0,17.0,1,2025-15
CR-1424,Random application crashes on client workstations,Data,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,High,2025-04-09T16:27:27.000000,2025-04-09T20:27:27.000000,2025-04-09T23:27:27.000000,0,4,Wednesday,1,4.0,3.0,7.0,0,2025-15
CR-1425,Unreliable backup completion for certain file shares,Failure,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,Medium,2025-04-09T14:29:56.000000,2025-04-09T17:29:56.000000,2025-04-09T23:29:56.000000,0,4,Wednesday,1,3.0,6.0,9.0,1,2025-15
CR-1426,Inconsistent behavior of multi-factor authentication prompts,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,High,Medium,Low,2025-04-09T19:43:22.000000,2025-04-10T02:43:22.000000,2025-04-11T02:43:22.000000,0,3,Wednesday,1,7.0,24.0,31.0,1,2025-15
CR-1427,Periodic issues with remote desktop sessions not reconnecting,Data,Thor,Thor,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-04-09T08:21:24.000000,2025-04-09T14:21:24.000000,2025-04-12T13:21:24.000000,0,0,Wednesday,1,6.0,71.0,77.0,1,2025-15
CR-1428,Recurring performance issues on storage system,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-04-09T06:46:37.000000,2025-04-09T13:46:37.000000,2025-04-10T09:46:37.000000,1,1,Wednesday,0,7.0,20.0,27.0,0,2025-15
CR-1429,Intermittent failures in automated file transfer jobs,Hardware,Hulk,Hulk,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-04-09T20:11:52.000000,2025-04-10T03:11:52.000000,2025-04-10T18:11:52.000000,0,2,Wednesday,1,7.0,15.0,22.0,0,2025-15
CR-1430,Inconsistent application behavior after automated updates,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,High,High,Medium,2025-04-09T16:18:28.000000,2025-04-09T22:18:28.000000,2025-04-10T05:18:28.000000,0,3,Wednesday,1,6.0,7.0,13.0,0,2025-15
CR-1431,Frequent errors in scheduled report generation processes,Failure,Neo,Neo,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-04-09T20:25:17.000000,2025-04-09T22:25:17.000000,2025-04-11T12:25:17.000000,0,0,Wednesday,1,2.0,38.0,40.0,0,2025-15
CR-1432,Frequent corruption of user profiles on shared workstations,Access,Captain America,Captain America,Avengers,Service C,Closed,High,High,Medium,Low,2025-04-09T21:26:48.000000,2025-04-10T03:26:48.000000,2025-04-10T15:26:48.000000,0,2,Wednesday,1,6.0,12.0,18.0,1,2025-15
CR-1433,Random failures in software deployment to endpoints,Data,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Low,Low,Low,2025-04-09T09:24:52.000000,2025-04-09T13:24:52.000000,2025-04-11T08:24:52.000000,0,1,Wednesday,1,4.0,43.0,47.0,0,2025-15
CR-1434,Recurring disk space shortages on application servers,Failure,Neo,Neo,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-04-09T14:27:10.000000,2025-04-09T21:27:10.000000,2025-04-10T17:27:10.000000,0,1,Wednesday,1,7.0,20.0,27.0,0,2025-15
CR-1435,Intermittent login issues after password changes,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,Medium,High,2025-04-09T18:34:34.000000,2025-04-10T01:34:34.000000,2025-04-10T08:34:34.000000,0,5,Wednesday,1,7.0,7.0,14.0,1,2025-15
CR-1436,Inconsistent permission errors on shared folders,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-04-09T03:04:26.000000,2025-04-09T05:04:26.000000,2025-04-10T01:04:26.000000,1,1,Wednesday,0,2.0,20.0,22.0,0,2025-15
CR-1437,Random disconnections from database for application services,Network,Thor,Thor,Avengers,Service B,On Hold,Medium,High,High,High,2025-04-09T03:05:24.000000,,,0,3,Wednesday,1,,,,0,2025-15
CR-1438,Periodic failures in monitoring alerts delivery,Facilities,Hulk,Hulk,Avengers,Service A,Closed,Medium,Critical,High,High,2025-04-09T08:39:46.000000,2025-04-09T12:39:46.000000,2025-04-09T14:39:46.000000,1,5,Wednesday,0,4.0,2.0,6.0,0,2025-15
CR-1439,Inconsistent permission errors on shared folders,Network,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-04-09T14:08:17.000000,2025-04-09T22:08:17.000000,2025-04-09T23:08:17.000000,0,5,Wednesday,1,8.0,1.0,9.0,0,2025-15
CR-1440,Random freezing of operating system on virtual desktops,Complaint,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,Medium,2025-04-09T06:41:13.000000,2025-04-09T12:41:13.000000,2025-04-09T20:41:13.000000,0,5,Wednesday,1,6.0,8.0,14.0,1,2025-15
CR-1441,Unexplained slow logon times for domain users,Failure,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-04-09T17:34:57.000000,2025-04-10T00:34:57.000000,2025-04-10T09:34:57.000000,0,3,Wednesday,1,7.0,9.0,16.0,1,2025-15
CR-1442,Random loss of mapped network drives on login,Facilities,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-04-10T11:16:39.000000,2025-04-10T13:16:39.000000,2025-04-10T17:16:39.000000,0,4,Thursday,1,2.0,4.0,6.0,0,2025-15
CR-1443,Unexplained slow logon times for domain users,Access,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,High,High,Medium,2025-04-10T02:46:42.000000,2025-04-10T05:46:42.000000,2025-04-11T02:46:42.000000,0,3,Thursday,1,3.0,21.0,24.0,1,2025-15
CR-1444,Intermittent network connectivity issues reported by multiple users,Access,Thor,Thor,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-04-10T00:33:08.000000,2025-04-10T03:33:08.000000,2025-04-10T17:33:08.000000,0,2,Thursday,1,3.0,14.0,17.0,0,2025-15
CR-1445,Intermittent login issues after password changes,Data,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,Medium,Medium,Low,2025-04-10T16:25:17.000000,2025-04-10T23:25:17.000000,2025-04-12T06:25:17.000000,0,2,Thursday,1,7.0,31.0,38.0,1,2025-15
CR-1446,Recurring SSL certificate errors for internal applications,Software,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Low,2025-04-10T07:33:43.000000,2025-04-10T10:33:43.000000,2025-04-11T05:33:43.000000,0,1,Thursday,1,3.0,19.0,22.0,0,2025-15
CR-1447,Intermittent connectivity issues to cloud-hosted applications,Failure,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-04-10T15:49:40.000000,2025-04-10T17:49:40.000000,2025-04-11T05:49:40.000000,1,3,Thursday,0,2.0,12.0,14.0,1,2025-15
CR-1448,Intermittent connectivity issues to cloud-hosted applications,Facilities,Thor,Thor,Avengers,Service A,Closed,High,Low,Low,Low,2025-04-10T16:30:44.000000,2025-04-10T23:30:44.000000,2025-04-13T10:30:44.000000,0,0,Thursday,1,7.0,59.0,66.0,1,2025-15
CR-1449,Unreliable backup completion for certain file shares,Software,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,High,High,2025-04-10T08:03:35.000000,2025-04-10T11:03:35.000000,2025-04-10T23:03:35.000000,1,4,Thursday,0,3.0,12.0,15.0,1,2025-15
CR-1450,Frequent errors in scheduled report generation processes,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-04-10T21:56:31.000000,2025-04-11T02:56:31.000000,2025-04-12T04:56:31.000000,0,2,Thursday,1,5.0,26.0,31.0,1,2025-15
CR-1451,Frequent corruption of user profiles on shared workstations,Software,Captain America,Captain America,Avengers,Service B,Closed,High,Critical,High,High,2025-04-10T18:38:57.000000,2025-04-11T00:38:57.000000,2025-04-11T08:38:57.000000,0,4,Thursday,1,6.0,8.0,14.0,1,2025-15
CR-1452,Random disconnections from database for application services,Facilities,Hulk,Hulk,Avengers,Service C,Closed,High,Low,Low,Low,2025-04-10T01:22:26.000000,2025-04-10T06:22:26.000000,2025-04-12T02:22:26.000000,0,1,Thursday,1,5.0,44.0,49.0,0,2025-15
CR-1453,Unstable Wi-Fi coverage in specific office area,Complaint,Captain America,Captain America,Avengers,Service B,Closed,High,Medium,Low,Medium,2025-04-10T05:01:26.000000,2025-04-10T08:01:26.000000,2025-04-11T18:01:26.000000,0,2,Thursday,1,3.0,34.0,37.0,1,2025-15
CR-1454,Intermittent VoIP call quality issues and audio dropouts,Access,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Low,Low,Low,2025-04-10T23:01:20.000000,2025-04-11T04:01:20.000000,2025-04-13T09:01:20.000000,0,0,Thursday,1,5.0,53.0,58.0,1,2025-15
CR-1455,Recurring printing failures for specific printer models,Data,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-04-11T00:05:13.000000,2025-04-11T02:05:13.000000,2025-04-12T13:05:13.000000,0,1,Friday,1,2.0,35.0,37.0,1,2025-15
CR-1456,Intermittent failures of web proxy authentication,Data,Thor,Thor,Avengers,Service C,Closed,Medium,High,High,High,2025-04-11T01:40:09.000000,2025-04-11T07:40:09.000000,2025-04-12T06:40:09.000000,0,3,Friday,1,6.0,23.0,29.0,1,2025-15
CR-1457,Random freezing of operating system on virtual desktops,Access,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-04-11T00:41:39.000000,2025-04-11T03:41:39.000000,2025-04-11T16:41:39.000000,0,2,Friday,1,3.0,13.0,16.0,0,2025-15
CR-1458,Inconsistent synchronization between production and reporting databases,Failure,Iron Man,Iron Man,Avengers,Service C,In Progress,Medium,Medium,Medium,Low,2025-04-11T18:55:13.000000,2025-04-11T21:55:13.000000,,0,2,Friday,1,3.0,,,0,2025-15
CR-1459,Inconsistent permission errors on shared folders,Complaint,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,High,2025-04-11T09:45:17.000000,2025-04-11T17:45:17.000000,2025-04-12T04:45:17.000000,0,3,Friday,1,8.0,11.0,19.0,1,2025-15
CR-1460,Recurring time synchronization issues across servers,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-04-11T19:38:48.000000,2025-04-12T00:38:48.000000,2025-04-13T21:38:48.000000,0,1,Friday,1,5.0,45.0,50.0,0,2025-15
CR-1461,Intermittent connectivity issues to cloud-hosted applications,Access,Loki,Loki,Avengers,Service A,Closed,Medium,High,High,High,2025-04-11T13:36:46.000000,2025-04-11T18:36:46.000000,2025-04-12T07:36:46.000000,0,2,Friday,1,5.0,13.0,18.0,1,2025-15
CR-1462,Periodic failures in monitoring alerts delivery,Failure,Captain America,Captain America,Avengers,Service A,Closed,High,Low,Low,Low,2025-04-11T02:31:19.000000,2025-04-11T10:31:19.000000,2025-04-14T09:31:19.000000,0,0,Friday,1,8.0,71.0,79.0,1,2025-15
CR-1463,Intermittent network connectivity issues reported by multiple users,Facilities,Neo,Neo,Matrix,Service A,Closed,Low,Medium,Low,Medium,2025-04-11T19:49:18.000000,2025-04-12T00:49:18.000000,2025-04-13T10:49:18.000000,0,2,Friday,1,5.0,34.0,39.0,1,2025-15
