Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-2047,Backup and restore files deleted by mistake on shared drive.,Hardware,John Cena,John Cena,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-01-23T15:01:49.000000,2025-01-23T22:01:49.000000,2025-01-25T18:01:49.000000,0,0,Thursday,1,7.0,44.0,51.0,0
CR-2048,Upgrade Oracle database version to meet system requirements.,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,Medium,Medium,2025-01-23T01:35:10.000000,2025-01-23T09:35:10.000000,2025-01-23T16:35:10.000000,0,3,Thursday,1,8.0,7.0,15.0,0
CR-2049,Request for cloud storage account provisioning for upcoming project.,Network,Captain America,Captain America,Avengers,Service B,Closed,Low,High,High,High,2025-01-23T21:17:02.000000,2025-01-24T05:17:02.000000,2025-01-24T16:17:02.000000,0,3,Thursday,1,8.0,11.0,19.0,0
CR-2050,Request to enable remote access to on-site servers.,Network,Loki,Loki,Avengers,Service A,Closed,High,High,High,High,2025-01-23T23:18:23.000000,2025-01-24T06:18:23.000000,2025-01-25T02:18:23.000000,1,2,Thursday,0,7.0,20.0,27.0,1
CR-2051,Request to access internal SharePoint site for the Finance department.,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Low,Medium,2025-01-23T19:04:27.000000,2025-01-24T02:04:27.000000,2025-01-24T20:04:27.000000,0,2,Thursday,1,7.0,18.0,25.0,0
CR-2052,Replace hardware for malfunctioning conference room equipment.,Complaint,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-23T00:13:41.000000,2025-01-23T05:13:41.000000,2025-01-24T11:13:41.000000,0,2,Thursday,1,5.0,30.0,35.0,1
CR-2053,Enable multi-factor authentication for remote developers.,Network,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-23T17:30:51.000000,2025-01-23T19:30:51.000000,2025-01-24T11:30:51.000000,0,1,Thursday,1,2.0,16.0,18.0,0
CR-2054,Add two new access points to the office Wi-Fi network.,Access,Captain America,Captain America,Avengers,Service C,Closed,Medium,High,High,High,2025-01-23T09:00:51.000000,2025-01-23T14:00:51.000000,2025-01-24T14:00:51.000000,0,2,Thursday,1,5.0,24.0,29.0,1
CR-2055,Upgrade virtual machine specs for training platform.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-23T11:31:21.000000,2025-01-23T14:31:21.000000,2025-01-24T03:31:21.000000,0,2,Thursday,1,3.0,13.0,16.0,0
CR-2056,Request to add new printer to network for HR department.,Complaint,Batman,Batman,Matrix,Service B,Closed,Medium,High,Medium,Medium,2025-01-23T06:28:45.000000,2025-01-23T09:28:45.000000,2025-01-23T15:28:45.000000,0,3,Thursday,1,3.0,6.0,9.0,0
CR-2057,Troubleshoot application access issues related to role change.,Software,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,High,Medium,2025-01-23T04:34:27.000000,2025-01-23T12:34:27.000000,2025-01-24T01:34:27.000000,0,3,Thursday,1,8.0,13.0,21.0,0
CR-2058,Request for temporary guest access to internal intranet services.,Software,Neo,Neo,Matrix,Service B,Closed,Low,Low,Low,Low,2025-01-23T03:33:24.000000,2025-01-23T06:33:24.000000,2025-01-24T21:33:24.000000,0,1,Thursday,1,3.0,39.0,42.0,0
CR-2059,Request to reset password for employee account.,Failure,Neo,Neo,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-01-23T11:43:59.000000,2025-01-23T19:43:59.000000,2025-01-26T10:43:59.000000,0,1,Thursday,1,8.0,63.0,71.0,1
CR-2060,Document retention policy modification for compliance purposes.,Access,Iron Man,Iron Man,Avengers,Service B,In Progress,Medium,Critical,High,High,2025-01-23T11:10:25.000000,2025-01-23T15:10:25.000000,,1,5,Thursday,0,4.0,0.0,0.0,0
CR-2061,Request to access internal SharePoint site for the Finance department.,Facilities,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-23T06:45:59.000000,2025-01-23T11:45:59.000000,2025-01-24T22:45:59.000000,0,1,Thursday,1,5.0,35.0,40.0,1
CR-2062,Request to reset password for employee account.,Data,Neo,Neo,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-23T11:59:55.000000,2025-01-23T17:59:55.000000,2025-01-24T07:59:55.000000,0,1,Thursday,1,6.0,14.0,20.0,0
CR-2063,Request to adjust permissions on shared inbox handling invoices.,Data,John Cena,John Cena,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-23T09:39:13.000000,2025-01-23T17:39:13.000000,2025-01-24T11:39:13.000000,1,1,Thursday,0,8.0,18.0,26.0,0
CR-2064,Request to install Python libraries on student laptops.,Access,Captain America,Captain America,Avengers,Service A,Closed,Low,High,High,High,2025-01-23T08:00:10.000000,2025-01-23T15:00:10.000000,2025-01-23T23:00:10.000000,0,3,Thursday,1,7.0,8.0,15.0,0
CR-2065,Request to delete unused virtual machines in non-production environment.,Data,Captain America,Captain America,Avengers,Service A,New,Medium,High,High,High,2025-01-23T20:07:50.000000,,,0,2,Thursday,1,0.0,0.0,0.0,0
CR-2066,Request for extended quota on shared email inbox.,Hardware,Hulk,Hulk,Avengers,Service A,New,Medium,Critical,High,High,2025-01-23T19:29:30.000000,,,0,3,Thursday,1,0.0,0.0,0.0,0
CR-2067,Request for extended quota on shared email inbox.,Software,John Cena,John Cena,Matrix,Service B,Closed,Medium,High,High,Medium,2025-01-23T03:45:41.000000,2025-01-23T10:45:41.000000,2025-01-23T17:45:41.000000,0,3,Thursday,1,7.0,7.0,14.0,0
CR-2068,Install Adobe Creative Suite on workstation for design team.,Access,Batman,Batman,Matrix,Service A,On Hold,Low,Low,Low,Low,2025-01-23T11:10:40.000000,,,0,0,Thursday,1,0.0,0.0,0.0,0
CR-2069,Document retention policy modification for compliance purposes.,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,High,High,High,2025-01-23T07:36:11.000000,2025-01-23T15:36:11.000000,2025-01-24T15:36:11.000000,0,3,Thursday,1,8.0,24.0,32.0,1
CR-2070,Provision special access profiles for GDPR compliance audits.,Hardware,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,Medium,2025-01-23T15:47:54.000000,2025-01-23T23:47:54.000000,2025-01-24T11:47:54.000000,0,4,Thursday,1,8.0,12.0,20.0,1
CR-2071,Request for temporary guest access to internal intranet services.,Network,Captain America,Captain America,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-23T13:58:48.000000,2025-01-23T21:58:48.000000,2025-01-25T14:58:48.000000,0,1,Thursday,1,8.0,41.0,49.0,0
CR-2072,Request to access internal SharePoint site for the Finance department.,Software,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-23T13:11:08.000000,2025-01-23T21:11:08.000000,2025-01-25T03:11:08.000000,0,2,Thursday,1,8.0,30.0,38.0,1
CR-2073,Request to create a new distribution list for the Marketing team.,Data,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-01-23T05:57:26.000000,2025-01-23T08:57:26.000000,2025-01-24T22:57:26.000000,0,0,Thursday,1,3.0,38.0,41.0,0
CR-2074,Provision external storage for graphics design project.,Facilities,Loki,Loki,Avengers,Service B,New,Low,Critical,High,Medium,2025-01-23T15:18:27.000000,,,0,3,Thursday,1,0.0,0.0,0.0,0
CR-2075,Relocation of desktop workstation within the office premises.,Hardware,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-23T04:37:12.000000,2025-01-23T09:37:12.000000,2025-01-23T16:37:12.000000,0,4,Thursday,1,5.0,7.0,12.0,1
CR-2076,Add two new access points to the office Wi-Fi network.,Software,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-23T21:09:14.000000,2025-01-23T23:09:14.000000,2025-01-25T05:09:14.000000,0,1,Thursday,1,2.0,30.0,32.0,1
CR-2077,Upgrade workstation RAM for improved video editing performance.,Complaint,Captain America,Captain America,Avengers,Service A,New,High,Critical,High,Medium,2025-01-23T20:02:20.000000,,,0,3,Thursday,1,0.0,0.0,0.0,0
CR-2078,Enable high-availability configuration on two production servers.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Medium,Low,Medium,2025-01-23T18:46:23.000000,2025-01-24T00:46:23.000000,2025-01-24T22:46:23.000000,0,1,Thursday,1,6.0,22.0,28.0,0
CR-2079,Request to move group mailbox ownership to new manager.,Failure,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-01-23T14:56:49.000000,2025-01-23T18:56:49.000000,2025-01-24T04:56:49.000000,0,4,Thursday,1,4.0,10.0,14.0,1
CR-2080,Request to create test environment for application testing.,Failure,Captain America,Captain America,Avengers,Service B,Closed,Low,High,Medium,High,2025-01-23T20:47:17.000000,2025-01-24T01:47:17.000000,2025-01-24T19:47:17.000000,0,2,Thursday,1,5.0,18.0,23.0,1
CR-2081,Request for secure deletion of files on retired desktops.,Complaint,Hulk,Hulk,Avengers,Service B,Closed,Low,High,High,Low,2025-01-23T17:09:47.000000,2025-01-23T22:09:47.000000,2025-01-24T19:09:47.000000,0,3,Thursday,1,5.0,21.0,26.0,1
CR-2082,Request for extended quota on shared email inbox.,Hardware,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-23T17:46:14.000000,2025-01-23T22:46:14.000000,2025-01-25T02:46:14.000000,0,2,Thursday,1,5.0,28.0,33.0,1
CR-2083,Install licensed Microsoft Visio on a department computer.,Software,Captain America,Captain America,Avengers,Service C,New,Medium,Medium,Medium,Medium,2025-01-23T19:18:02.000000,,,0,1,Thursday,1,0.0,0.0,0.0,0
CR-2084,User asking for permissions to install additional software.,Complaint,Captain America,Captain America,Avengers,Service B,Closed,Low,Medium,Low,Medium,2025-01-23T18:08:42.000000,2025-01-24T02:08:42.000000,2025-01-25T06:08:42.000000,0,2,Thursday,1,8.0,28.0,36.0,1
CR-2085,Request to install Python libraries on student laptops.,Failure,Neo,Neo,Matrix,Service C,Closed,Low,Low,Low,Low,2025-01-23T19:55:42.000000,2025-01-24T03:55:42.000000,2025-01-25T09:55:42.000000,1,0,Thursday,0,8.0,30.0,38.0,0
CR-2086,Change access rights on shared folder for team lead.,Network,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-01-23T17:40:39.000000,2025-01-23T23:40:39.000000,2025-01-24T01:40:39.000000,0,3,Thursday,1,6.0,2.0,8.0,0
CR-2087,Upgrade Oracle database version to meet system requirements.,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-01-23T00:44:31.000000,2025-01-23T06:44:31.000000,2025-01-24T11:44:31.000000,0,1,Thursday,1,6.0,29.0,35.0,1
CR-2088,Configure alerts for reporting dashboard thresholds.,Data,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-23T18:56:01.000000,2025-01-23T20:56:01.000000,2025-01-24T04:56:01.000000,1,3,Thursday,0,2.0,8.0,10.0,1
CR-2089,Request for secure deletion of files on retired desktops.,Software,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,High,High,High,2025-01-23T23:47:28.000000,2025-01-24T05:47:28.000000,2025-01-24T11:47:28.000000,0,3,Thursday,1,6.0,6.0,12.0,0
CR-2090,Install Adobe Creative Suite on workstation for design team.,Software,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-23T08:03:00.000000,2025-01-23T16:03:00.000000,2025-01-23T23:03:00.000000,0,5,Thursday,1,8.0,7.0,15.0,1
CR-2091,Request to create a new distribution list for the Marketing team.,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-23T03:52:41.000000,2025-01-23T07:52:41.000000,2025-01-24T17:52:41.000000,0,2,Thursday,1,4.0,34.0,38.0,1
CR-2092,Request to install Python libraries on student laptops.,Data,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-01-23T01:21:08.000000,2025-01-23T08:21:08.000000,2025-01-23T19:21:08.000000,0,3,Thursday,1,7.0,11.0,18.0,1
CR-2093,Troubleshoot application access issues related to role change.,Facilities,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,Medium,High,2025-01-23T20:50:08.000000,2025-01-24T03:50:08.000000,2025-01-24T13:50:08.000000,0,3,Thursday,1,7.0,10.0,17.0,1
CR-2094,Replace hardware for malfunctioning conference room equipment.,Network,Hulk,Hulk,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-01-23T13:07:44.000000,2025-01-23T21:07:44.000000,2025-01-24T16:07:44.000000,0,1,Thursday,1,8.0,19.0,27.0,0
CR-2095,Request to install Python libraries on student laptops.,Access,Loki,Loki,Avengers,Service B,Closed,High,High,High,Low,2025-01-23T16:58:17.000000,2025-01-23T22:58:17.000000,2025-01-24T11:58:17.000000,0,3,Thursday,1,6.0,13.0,19.0,0
CR-2096,Setup repository access for junior developers.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-23T06:50:37.000000,2025-01-23T10:50:37.000000,2025-01-24T17:50:37.000000,0,2,Thursday,1,4.0,31.0,35.0,1
CR-2097,Request to create and configure backup jobs for departmental database.,Software,John Wick,John Wick,Matrix,Service A,Closed,High,Low,Low,Low,2025-01-23T03:23:02.000000,2025-01-23T05:23:02.000000,2025-01-25T06:23:02.000000,0,0,Thursday,1,2.0,49.0,51.0,1
CR-2098,Install licensed Microsoft Visio on a department computer.,Access,Hulk,Hulk,Avengers,Service A,Closed,Low,High,High,High,2025-01-23T07:21:40.000000,2025-01-23T14:21:40.000000,2025-01-24T02:21:40.000000,0,2,Thursday,1,7.0,12.0,19.0,0
CR-2099,Request to create container image repository for DevOps team.,Complaint,John Cena,John Cena,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-23T23:22:32.000000,2025-01-24T03:22:32.000000,2025-01-24T16:22:32.000000,0,1,Thursday,1,4.0,13.0,17.0,0
CR-2100,Request to access internal SharePoint site for the Finance department.,Failure,John Cena,John Cena,Matrix,Service C,Closed,High,Critical,Medium,High,2025-01-23T06:11:19.000000,2025-01-23T13:11:19.000000,2025-01-24T00:11:19.000000,0,3,Thursday,1,7.0,11.0,18.0,1
CR-2101,Configuration update needed for internal voice gateway routing.,Network,Loki,Loki,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-01-23T15:05:12.000000,2025-01-23T18:05:12.000000,2025-01-23T21:05:12.000000,0,3,Thursday,1,3.0,3.0,6.0,0
CR-2102,Request to reset password for employee account.,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-23T23:27:31.000000,2025-01-24T02:27:31.000000,2025-01-25T08:27:31.000000,0,2,Thursday,1,3.0,30.0,33.0,1
CR-2103,Document retention policy modification for compliance purposes.,Complaint,Loki,Loki,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-23T10:09:43.000000,2025-01-23T12:09:43.000000,2025-01-25T22:09:43.000000,1,1,Thursday,0,2.0,58.0,60.0,1
CR-2104,Setup repository access for junior developers.,Data,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,Medium,2025-01-24T19:17:31.000000,2025-01-25T03:17:31.000000,2025-01-25T05:17:31.000000,0,4,Friday,1,8.0,2.0,10.0,0
CR-2105,Create custom email signature for company branding.,Hardware,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-24T10:18:30.000000,2025-01-24T17:18:30.000000,2025-01-25T16:18:30.000000,0,1,Friday,1,7.0,23.0,30.0,0
CR-2106,Install licensed Microsoft Visio on a department computer.,Failure,John Cena,John Cena,Matrix,Service C,Closed,Medium,Critical,High,High,2025-01-24T19:10:46.000000,2025-01-25T00:10:46.000000,2025-01-25T06:10:46.000000,0,4,Friday,1,5.0,6.0,11.0,1
CR-2107,Create custom email signature for company branding.,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,High,High,Medium,2025-01-24T05:32:14.000000,2025-01-24T10:32:14.000000,2025-01-24T23:32:14.000000,0,3,Friday,1,5.0,13.0,18.0,0
CR-2108,Enable high-availability configuration on two production servers.,Data,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,High,2025-01-24T21:29:47.000000,2025-01-25T05:29:47.000000,2025-01-25T16:29:47.000000,1,5,Friday,0,8.0,11.0,19.0,1
CR-2109,Create custom email signature for company branding.,Access,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,High,High,Medium,2025-01-24T17:48:19.000000,2025-01-24T20:48:19.000000,2025-01-25T10:48:19.000000,0,3,Friday,1,3.0,14.0,17.0,0
CR-2110,Activate mobile application access for workflow approvals.,Network,Hulk,Hulk,Avengers,Service C,Closed,Low,High,High,High,2025-01-24T08:08:30.000000,2025-01-24T11:08:30.000000,2025-01-25T05:08:30.000000,1,3,Friday,0,3.0,18.0,21.0,1
CR-2111,Upgrade virtual machine specs for training platform.,Hardware,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-01-24T06:30:27.000000,2025-01-24T12:30:27.000000,2025-01-24T18:30:27.000000,0,3,Friday,1,6.0,6.0,12.0,1
CR-2112,Enable multi-factor authentication for remote developers.,Access,Batman,Batman,Matrix,Service A,New,Medium,High,Medium,High,2025-01-24T13:52:02.000000,,,1,2,Friday,0,0.0,0.0,0.0,0
CR-2113,Extend mailbox retention policy for legal department emails.,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-24T20:15:46.000000,2025-01-25T00:15:46.000000,2025-01-25T13:15:46.000000,0,3,Friday,1,4.0,13.0,17.0,0
CR-2114,Request to access internal SharePoint site for the Finance department.,Complaint,Batman,Batman,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-24T02:02:07.000000,2025-01-24T04:02:07.000000,2025-01-25T15:02:07.000000,0,2,Friday,1,2.0,35.0,37.0,1
CR-2115,Replace hardware for malfunctioning conference room equipment.,Hardware,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-24T17:50:01.000000,2025-01-24T23:50:01.000000,2025-01-26T08:50:01.000000,1,2,Friday,0,6.0,33.0,39.0,1
CR-2116,Re-enable accounts for recent employee returning after leave.,Complaint,Batman,Batman,Matrix,Service A,New,High,Medium,Medium,Medium,2025-01-24T19:57:35.000000,,,0,1,Friday,1,0.0,0.0,0.0,0
CR-2117,Add two new access points to the office Wi-Fi network.,Data,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,High,Low,2025-01-24T22:47:48.000000,2025-01-25T03:47:48.000000,2025-01-26T02:47:48.000000,0,2,Friday,1,5.0,23.0,28.0,1
CR-2118,Upgrade virtual machine specs for training platform.,Software,John Wick,John Wick,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-24T14:48:02.000000,2025-01-24T21:48:02.000000,2025-01-26T05:48:02.000000,0,1,Friday,1,7.0,32.0,39.0,0
CR-2119,Request to reset password for employee account.,Network,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,High,High,Medium,2025-01-24T13:50:03.000000,2025-01-24T16:50:03.000000,2025-01-25T09:50:03.000000,1,2,Friday,0,3.0,17.0,20.0,1
CR-2120,Request to create container image repository for DevOps team.,Network,Spiderman,Spiderman,Avengers II,Service C,On Hold,Medium,Critical,Medium,High,2025-01-24T08:16:22.000000,,,0,3,Friday,1,0.0,0.0,0.0,0
CR-2121,Request to access internal SharePoint site for the Finance department.,Access,Hulk,Hulk,Avengers,Service A,New,High,High,High,Medium,2025-01-24T00:22:22.000000,,,0,2,Friday,1,0.0,0.0,0.0,0
CR-2122,Add two new access points to the office Wi-Fi network.,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Critical,High,Medium,2025-01-24T05:09:34.000000,2025-01-24T07:09:34.000000,2025-01-24T11:09:34.000000,0,5,Friday,1,2.0,4.0,6.0,0
CR-2123,Request for extended quota on shared email inbox.,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,High,High,Medium,2025-01-24T20:58:02.000000,2025-01-25T04:58:02.000000,2025-01-26T00:58:02.000000,0,3,Friday,1,8.0,20.0,28.0,1
CR-2124,Document retention policy modification for compliance purposes.,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,High,High,High,2025-01-24T00:03:50.000000,2025-01-24T08:03:50.000000,2025-01-24T23:03:50.000000,0,3,Friday,1,8.0,15.0,23.0,0
CR-2125,Extend mailbox retention policy for legal department emails.,Access,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Medium,Low,2025-01-24T19:43:12.000000,2025-01-25T00:43:12.000000,2025-01-25T22:43:12.000000,1,2,Friday,0,5.0,22.0,27.0,0
CR-2126,Enable multi-factor authentication for remote developers.,Data,John Cena,John Cena,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-24T15:35:04.000000,2025-01-24T21:35:04.000000,2025-01-26T23:35:04.000000,1,0,Friday,0,6.0,50.0,56.0,1
CR-2127,Update public holiday calendar in corporate Outlook accounts.,Network,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-24T23:22:06.000000,2025-01-25T03:22:06.000000,2025-01-26T01:22:06.000000,1,2,Friday,0,4.0,22.0,26.0,1
CR-2128,Request to adjust permissions on shared inbox handling invoices.,Hardware,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,High,2025-01-24T09:07:13.000000,2025-01-24T15:07:13.000000,2025-01-24T19:07:13.000000,0,4,Friday,1,6.0,4.0,10.0,0
CR-2129,Request to install Python libraries on student laptops.,Software,Spiderman,Spiderman,Avengers II,Service B,On Hold,Medium,Medium,Medium,Medium,2025-01-24T04:26:17.000000,,,1,1,Friday,0,0.0,0.0,0.0,0
CR-2130,Request for temporary guest access to internal intranet services.,Access,Batman,Batman,Matrix,Service B,Closed,Medium,Medium,Medium,Low,2025-01-24T23:34:09.000000,2025-01-25T04:34:09.000000,2025-01-26T00:34:09.000000,1,2,Friday,0,5.0,20.0,25.0,0
CR-2131,Reassign ownership of project management tools to new team lead.,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-01-24T03:40:23.000000,2025-01-24T09:40:23.000000,2025-01-25T00:40:23.000000,0,1,Friday,1,6.0,15.0,21.0,0
CR-2132,Request for secure deletion of files on retired desktops.,Access,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Critical,High,Medium,2025-01-24T17:09:07.000000,2025-01-24T20:09:07.000000,2025-01-25T06:09:07.000000,0,3,Friday,1,3.0,10.0,13.0,1
CR-2133,Request to create and configure backup jobs for departmental database.,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,Medium,High,2025-01-24T07:49:51.000000,2025-01-24T15:49:51.000000,2025-01-25T10:49:51.000000,1,2,Friday,0,8.0,19.0,27.0,1
CR-2134,Replace hardware for malfunctioning conference room equipment.,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,High,Medium,Medium,2025-01-24T23:35:07.000000,2025-01-25T01:35:07.000000,2025-01-25T22:35:07.000000,0,2,Friday,1,2.0,21.0,23.0,1
CR-2135,Reassign ownership of project management tools to new team lead.,Failure,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Medium,Low,Medium,2025-01-24T16:15:09.000000,2025-01-24T22:15:09.000000,2025-01-26T07:15:09.000000,0,1,Friday,1,6.0,33.0,39.0,1
CR-2136,Provisioning of VPN access for third-party vendor consultants.,Network,Loki,Loki,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-24T14:46:20.000000,2025-01-24T20:46:20.000000,2025-01-25T18:46:20.000000,0,1,Friday,1,6.0,22.0,28.0,0
CR-2137,Request to access internal SharePoint site for the Finance department.,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,2025-01-24T19:19:45.000000,2025-01-24T22:19:45.000000,2025-01-25T21:19:45.000000,0,1,Friday,1,3.0,23.0,26.0,0
CR-2138,Request for secure deletion of files on retired desktops.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,High,High,High,2025-01-24T05:43:25.000000,2025-01-24T13:43:25.000000,2025-01-25T04:43:25.000000,1,3,Friday,0,8.0,15.0,23.0,0
CR-2139,Request for cloud storage account provisioning for upcoming project.,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,High,Medium,Low,2025-01-24T21:07:40.000000,2025-01-25T00:07:40.000000,2025-01-25T19:07:40.000000,0,3,Friday,1,3.0,19.0,22.0,1
CR-2140,Activate mobile application access for workflow approvals.,Data,Captain America,Captain America,Avengers,Service A,On Hold,Low,Medium,Medium,Medium,2025-01-24T09:29:27.000000,,,0,2,Friday,1,0.0,0.0,0.0,0
CR-2141,Troubleshoot application access issues related to role change.,Failure,John Cena,John Cena,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-01-24T06:55:24.000000,2025-01-24T13:55:24.000000,2025-01-27T13:55:24.000000,0,0,Friday,1,7.0,72.0,79.0,1
CR-2142,Setup repository access for junior developers.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Critical,High,High,2025-01-24T15:46:04.000000,2025-01-24T23:46:04.000000,2025-01-25T11:46:04.000000,1,5,Friday,0,8.0,12.0,20.0,1
CR-2143,Request to adjust permissions on shared inbox handling invoices.,Complaint,Batman,Batman,Matrix,Service B,Closed,High,High,High,High,2025-01-24T08:42:16.000000,2025-01-24T15:42:16.000000,2025-01-24T21:42:16.000000,0,2,Friday,1,7.0,6.0,13.0,0
CR-2144,Enable high-availability configuration on two production servers.,Facilities,Hulk,Hulk,Avengers,Service A,Closed,Medium,Medium,Medium,Low,2025-01-24T14:15:44.000000,2025-01-24T17:15:44.000000,2025-01-25T20:15:44.000000,0,2,Friday,1,3.0,27.0,30.0,1
CR-2145,Activate mobile application access for workflow approvals.,Complaint,Neo,Neo,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-24T21:24:10.000000,2025-01-25T05:24:10.000000,2025-01-25T18:24:10.000000,0,2,Friday,1,8.0,13.0,21.0,0
CR-2146,Create subdomain for new departmental website launch.,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Low,Medium,Low,Medium,2025-01-24T21:41:12.000000,2025-01-25T05:41:12.000000,2025-01-26T00:41:12.000000,0,2,Friday,1,8.0,19.0,27.0,0
CR-2147,Request to adjust permissions on shared inbox handling invoices.,Access,Neo,Neo,Matrix,Service C,Closed,High,High,High,High,2025-01-24T20:32:12.000000,2025-01-25T02:32:12.000000,2025-01-25T14:32:12.000000,0,2,Friday,1,6.0,12.0,18.0,0
CR-2148,Request to delete unused virtual machines in non-production environment.,Access,Hulk,Hulk,Avengers,Service C,On Hold,Medium,High,High,Medium,2025-01-24T06:32:40.000000,,,0,3,Friday,1,0.0,0.0,0.0,0
CR-2149,Activate mobile application access for workflow approvals.,Network,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-24T04:41:52.000000,2025-01-24T07:41:52.000000,2025-01-24T08:41:52.000000,0,3,Friday,1,3.0,1.0,4.0,0
CR-2150,Request to create a new distribution list for the Marketing team.,Facilities,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-24T10:19:51.000000,2025-01-24T13:19:51.000000,2025-01-24T21:19:51.000000,0,5,Friday,1,3.0,8.0,11.0,1
