Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag
CR-6180,Privileged user access review identified anomalies,Hardware,Martin,Michal,Avengers,Service B,Closed,Low,High,High,Low,2025-03-02T22:35:06.000000,2025-03-03T01:42:47.000000,2025-03-03T22:34:07.000000,0,Sunday,1
CR-6181,Phishing email reported by employee,Failure,Peter,Jan,Avengers II,Service A,Closed,High,Low,Low,High,2025-03-02T22:34:25.000000,2025-03-03T04:40:48.000000,2025-03-03T12:34:47.000000,1,Sunday,0
CR-6182,Multiple failed VPN authentication attempts from external IP,Hardware,Thor,Thor,Avengers II,Service B,Closed,Low,Medium,Medium,Low,2025-03-02T00:22:34.000000,2025-03-02T08:05:46.000000,2025-03-03T18:24:40.000000,1,Sunday,0
CR-6183,Anomalous login pattern for service account,Hardware,Iron Man,Thor,Matrix,Service A,Closed,Medium,Low,Low,High,2025-03-02T09:26:35.000000,2025-03-02T16:09:45.000000,2025-03-03T20:25:58.000000,1,Sunday,0
CR-6184,Unencrypted data transfer detected over public network,Data,Iron Man,Captain America,Avengers II,Service C,In Progress,Low,High,High,Low,2025-03-02T18:52:30.000000,2025-03-02T20:44:26.000000,,0,Sunday,1
CR-6185,Unapproved application communicating with external server,Network,Thor,Martin,Avengers II,Service B,Closed,Low,Low,Low,Medium,2025-03-02T02:39:31.000000,2025-03-02T06:52:38.000000,2025-03-02T23:22:03.000000,1,Sunday,0
CR-6186,Multiple failed VPN authentication attempts from external IP,Failure,Captain America,Martin,Avengers,Service A,New,Low,Medium,Low,Low,2025-03-02T16:37:28.000000,,,0,Sunday,1
CR-6187,Unusual file encryption activity detected on server,Network,Jan,Peter,Matrix,Service A,In Progress,Medium,High,Medium,Medium,2025-03-02T10:49:53.000000,2025-03-02T14:41:46.000000,,0,Sunday,1
CR-6188,Ransomware behavior detected and contained on endpoint,Network,Michal,Peter,Matrix,Service B,Closed,Low,High,Medium,Low,2025-03-02T08:23:55.000000,2025-03-02T13:50:30.000000,2025-03-03T11:45:04.000000,1,Sunday,0
CR-6189,Unauthorized attempt to access security logs,Complaint,Thor,Captain America,Avengers,Service C,New,Low,Medium,Low,Medium,2025-03-02T11:43:20.000000,,,0,Sunday,1
CR-6190,Abnormal API access pattern from external client,Hardware,Iron Man,Thor,Avengers II,Service C,Closed,Medium,Medium,High,High,2025-03-02T11:49:24.000000,2025-03-02T20:36:40.000000,2025-03-04T14:51:07.000000,0,Sunday,1
CR-6191,New privileged account created without proper approval,Complaint,Jan,Peter,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-03-02T11:38:34.000000,2025-03-02T15:11:42.000000,2025-03-03T20:03:44.000000,1,Sunday,0
CR-6192,Multiple failed VPN authentication attempts from external IP,Facilities,Jan,Thor,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-03-02T22:55:56.000000,2025-03-03T00:28:56.000000,2025-03-03T13:31:49.000000,0,Sunday,1
CR-6193,Unauthorized installation of unapproved software,Software,Captain America,Jan,Matrix,Service B,On Hold,Medium,Low,Low,Low,2025-03-02T20:22:38.000000,,,0,Sunday,1
CR-6194,Phishing email reported by employee,Network,Michal,Iron Man,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-03-02T12:48:27.000000,2025-03-02T19:52:34.000000,2025-03-03T16:55:43.000000,1,Sunday,0
CR-6195,Unusual data download volume from file server,Hardware,Michal,Iron Man,Avengers,Service A,Closed,Low,Medium,High,Medium,2025-03-02T00:34:48.000000,2025-03-02T08:37:32.000000,2025-03-02T20:47:17.000000,1,Sunday,0
CR-6196,Abnormal outbound DNS requests from single host,Access,Captain America,Thor,Avengers,Service B,Closed,High,High,High,High,2025-03-02T12:44:29.000000,2025-03-02T19:51:29.000000,2025-03-03T01:10:43.000000,1,Sunday,0
CR-6197,Multiple logins from different countries within short timeframe,Complaint,Captain America,Thor,Avengers,Service B,Closed,Low,Low,Low,High,2025-03-02T17:03:10.000000,2025-03-03T01:28:43.000000,2025-03-03T16:28:05.000000,1,Sunday,0
CR-6198,Unusual traffic to anonymization service detected,Hardware,Peter,Thor,Matrix,Service B,Closed,Low,High,High,Low,2025-03-02T05:44:42.000000,2025-03-02T13:53:23.000000,2025-03-04T00:53:41.000000,0,Sunday,1
CR-6199,Ransomware behavior detected and contained on endpoint,Facilities,Jan,Iron Man,Matrix,Service B,Closed,Medium,Low,High,Medium,2025-03-02T10:25:51.000000,2025-03-02T16:18:18.000000,2025-03-03T06:47:04.000000,0,Sunday,1
CR-6200,Compromised account password reset and user notified,Facilities,Thor,Martin,Matrix,Service B,Closed,Low,Low,Medium,Medium,2025-03-02T08:44:31.000000,2025-03-02T16:14:07.000000,2025-03-02T21:53:08.000000,0,Sunday,1
CR-6201,New network share created without change request,Hardware,Iron Man,Thor,Avengers II,Service A,Closed,High,High,Low,Low,2025-03-02T21:19:00.000000,2025-03-03T04:02:27.000000,2025-03-03T07:50:41.000000,0,Sunday,1
CR-6202,External IP added to whitelist without approval,Network,Martin,Jan,Avengers,Service C,Closed,Medium,Medium,High,High,2025-03-02T23:22:58.000000,2025-03-03T04:52:36.000000,2025-03-04T10:55:17.000000,0,Sunday,1
CR-6203,Privileged user access review identified anomalies,Facilities,Michal,Jan,Avengers,Service C,In Progress,Low,High,Low,Medium,2025-03-02T06:36:47.000000,2025-03-02T11:41:43.000000,,1,Sunday,0
CR-6204,Multiple password reset requests from same user,Failure,Iron Man,Jan,Avengers II,Service C,Closed,Low,High,High,High,2025-03-02T09:40:22.000000,2025-03-02T14:35:24.000000,2025-03-04T11:02:11.000000,1,Sunday,0
CR-6205,New privileged account created without proper approval,Access,Captain America,Captain America,Avengers,Service B,Closed,Medium,High,Medium,Medium,2025-03-02T14:20:22.000000,2025-03-02T22:16:05.000000,2025-03-04T14:43:03.000000,1,Sunday,0
CR-6206,Malicious attachment blocked by email gateway,Data,Iron Man,Iron Man,Matrix,Service A,Closed,Low,Low,Medium,Medium,2025-03-02T09:06:33.000000,2025-03-02T11:03:58.000000,2025-03-03T02:50:30.000000,1,Sunday,0
CR-6207,Malicious JavaScript detected on visited webpage,Network,Martin,Jan,Avengers,Service C,New,Medium,Medium,High,High,2025-03-02T16:39:17.000000,,,1,Sunday,0
CR-6208,Brute force attack detected on remote access gateway,Failure,Captain America,Peter,Matrix,Service C,Closed,High,Medium,Low,Low,2025-03-02T14:55:14.000000,2025-03-02T16:49:13.000000,2025-03-04T04:31:34.000000,1,Sunday,0
CR-6209,Suspicious login attempt using expired credentials,Data,Peter,Thor,Avengers,Service C,Closed,Low,Low,Low,High,2025-03-02T14:31:15.000000,2025-03-02T17:09:55.000000,2025-03-03T09:00:43.000000,1,Sunday,0
CR-6210,Unauthorized access to shared network drive,Access,Captain America,Thor,Avengers,Service B,Closed,High,Medium,High,Medium,2025-03-02T07:23:11.000000,2025-03-02T13:00:06.000000,2025-03-03T10:03:37.000000,0,Sunday,1
CR-6211,Privilege escalation attempt on production server,Data,Iron Man,Iron Man,Matrix,Service A,Closed,Low,High,Low,Low,2025-03-02T13:52:44.000000,2025-03-02T17:50:27.000000,2025-03-04T09:54:30.000000,0,Sunday,1
CR-6212,Suspicious outbound traffic to known malicious domain,Data,Jan,Thor,Avengers,Service A,Closed,Low,High,High,High,2025-03-02T10:09:29.000000,2025-03-02T14:52:07.000000,2025-03-02T23:06:55.000000,1,Sunday,0
CR-6213,Unauthorized installation of unapproved software,Access,Thor,Thor,Avengers,Service A,Closed,High,High,Low,High,2025-03-02T18:55:30.000000,2025-03-02T22:42:48.000000,2025-03-03T14:37:06.000000,1,Sunday,0
CR-6214,Unusual spike in security alerts for single user,Facilities,Michal,Peter,Avengers II,Service A,Closed,Low,High,High,Medium,2025-03-02T13:11:23.000000,2025-03-02T18:54:45.000000,2025-03-03T16:56:55.000000,0,Sunday,1
CR-6215,Unusual file encryption activity detected on server,Access,Captain America,Iron Man,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-03-02T20:43:05.000000,2025-03-03T04:29:08.000000,2025-03-03T08:24:12.000000,0,Sunday,1
CR-6216,Email forwarding rule created without user knowledge,Hardware,Martin,Thor,Avengers,Service B,On Hold,Low,High,Medium,High,2025-03-02T22:51:25.000000,,,1,Sunday,0
CR-6217,Network scan originating from internal segment detected,Hardware,Captain America,Captain America,Avengers,Service B,Closed,High,Low,Low,Medium,2025-03-02T00:39:35.000000,2025-03-02T06:06:17.000000,2025-03-03T03:10:01.000000,1,Sunday,0
CR-6218,Unusual VPN connection outside normal working hours,Facilities,Michal,Peter,Avengers II,Service B,Closed,Medium,Low,Medium,Medium,2025-03-02T09:53:00.000000,2025-03-02T14:05:17.000000,2025-03-02T20:01:29.000000,0,Sunday,1
CR-6219,Email account used to send large volume of external messages,Data,Iron Man,Captain America,Avengers,Service A,Closed,High,Low,Low,Low,2025-03-02T21:10:24.000000,2025-03-03T03:10:47.000000,2025-03-03T20:19:39.000000,0,Sunday,1
CR-6220,Multiple logins from different countries within short timeframe,Complaint,Michal,Iron Man,Matrix,Service C,Closed,Low,High,Low,Low,2025-03-02T11:04:19.000000,2025-03-02T14:50:26.000000,2025-03-02T21:59:40.000000,0,Sunday,1
CR-6221,Unusual file encryption activity detected on server,Network,Martin,Michal,Avengers,Service C,Closed,Medium,High,Medium,Low,2025-03-02T05:03:58.000000,2025-03-02T11:10:46.000000,2025-03-03T02:16:54.000000,0,Sunday,1
CR-6222,Unapproved connection to third-party cloud service,Access,Thor,Peter,Avengers,Service A,Closed,Low,High,Low,Low,2025-03-02T15:14:49.000000,2025-03-02T22:04:49.000000,2025-03-03T16:00:17.000000,1,Sunday,0
CR-6223,New privileged account created without proper approval,Facilities,Martin,Iron Man,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-03-02T05:29:03.000000,2025-03-02T10:03:29.000000,2025-03-04T04:41:28.000000,0,Sunday,1
CR-6224,Unusual spike in security alerts for single user,Facilities,Thor,Martin,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-03-02T00:29:09.000000,2025-03-02T05:23:19.000000,2025-03-03T15:03:14.000000,0,Sunday,1
CR-6225,Privilege escalation attempt on production server,Network,Michal,Iron Man,Avengers,Service C,New,High,High,Medium,High,2025-03-02T04:59:50.000000,,,0,Sunday,1
CR-6226,Endpoint reported repeated blocked exploit attempts,Data,Peter,Michal,Avengers II,Service C,Closed,High,High,High,High,2025-03-02T21:40:44.000000,2025-03-03T06:09:09.000000,2025-03-04T22:06:24.000000,0,Sunday,1
CR-6227,Unsupported legacy protocol usage detected in network traffic,Facilities,Peter,Jan,Avengers,Service C,Closed,Medium,High,Medium,Medium,2025-03-02T17:49:41.000000,2025-03-03T00:38:19.000000,2025-03-04T10:09:36.000000,1,Sunday,0
CR-6228,Web proxy blocked access to high-risk website,Complaint,Iron Man,Jan,Avengers II,Service C,Closed,High,High,Medium,Low,2025-03-02T13:35:07.000000,2025-03-02T19:54:04.000000,2025-03-04T14:17:23.000000,1,Sunday,0
CR-6229,Unauthorized attempt to disable endpoint protection,Facilities,Peter,Peter,Avengers,Service C,Closed,High,Low,Medium,Medium,2025-03-02T23:28:46.000000,2025-03-03T03:47:48.000000,2025-03-04T23:52:05.000000,1,Sunday,0
CR-6230,Unapproved application communicating with external server,Data,Peter,Martin,Avengers II,Service A,Closed,High,Low,High,Low,2025-03-02T04:47:00.000000,2025-03-02T09:49:07.000000,2025-03-04T06:36:57.000000,1,Sunday,0
CR-6231,New privileged account created without proper approval,Data,Michal,Thor,Matrix,Service B,New,Low,Low,Medium,Low,2025-03-02T20:36:13.000000,,,0,Sunday,1
CR-6232,Suspicious authentication token reuse detected,Software,Michal,Iron Man,Avengers,Service B,Closed,Low,Medium,Low,Low,2025-03-02T18:13:17.000000,2025-03-03T02:34:57.000000,2025-03-04T06:50:20.000000,0,Sunday,1
CR-6233,Unauthorized installation of unapproved software,Network,Iron Man,Thor,Matrix,Service B,Closed,High,Low,Medium,Low,2025-03-02T08:37:06.000000,2025-03-02T14:11:30.000000,2025-03-03T13:30:40.000000,0,Sunday,1
CR-6234,Unusual access pattern to customer data records,Hardware,Martin,Peter,Avengers,Service B,Closed,High,Medium,Medium,Low,2025-03-02T01:16:19.000000,2025-03-02T03:33:51.000000,2025-03-03T23:03:38.000000,0,Sunday,1
CR-6235,Unexpected configuration change on security appliance,Access,Michal,Michal,Avengers,Service A,Closed,Low,Medium,Low,Low,2025-03-02T08:03:59.000000,2025-03-02T11:22:02.000000,2025-03-04T06:30:07.000000,0,Sunday,1
CR-6236,Unusual VPN connection outside normal working hours,Hardware,Thor,Jan,Avengers,Service A,Closed,High,High,High,Low,2025-03-02T19:06:22.000000,2025-03-03T02:55:28.000000,2025-03-04T16:09:32.000000,1,Sunday,0
CR-6237,Multiple failed login attempts detected on user account,Hardware,Michal,Michal,Avengers II,Service C,Closed,High,Low,Medium,High,2025-03-02T05:44:36.000000,2025-03-02T10:08:15.000000,2025-03-02T23:56:01.000000,1,Sunday,0
CR-6238,Unusual file encryption activity detected on server,Complaint,Jan,Iron Man,Avengers,Service C,Closed,High,Low,Medium,Low,2025-03-02T18:10:42.000000,2025-03-02T22:11:18.000000,2025-03-04T17:47:55.000000,0,Sunday,1
CR-6239,External IP added to whitelist without approval,Network,Martin,Peter,Matrix,Service A,Closed,Medium,High,Medium,Low,2025-03-02T04:35:46.000000,2025-03-02T08:26:55.000000,2025-03-03T04:37:44.000000,0,Sunday,1
CR-6240,Multiple password reset requests from same user,Facilities,Peter,Jan,Avengers II,Service A,Closed,Low,Medium,High,Medium,2025-03-02T14:05:57.000000,2025-03-02T18:05:29.000000,2025-03-04T06:47:49.000000,0,Sunday,1
CR-6241,Endpoint antivirus detected and quarantined malware,Data,Martin,Michal,Avengers,Service A,Closed,Low,Low,Medium,Medium,2025-03-02T19:20:02.000000,2025-03-03T03:29:00.000000,2025-03-04T06:53:57.000000,0,Sunday,1
CR-6242,Malicious attachment blocked by email gateway,Access,Iron Man,Michal,Matrix,Service A,Closed,Medium,High,Low,Medium,2025-03-02T22:29:52.000000,2025-03-03T06:41:44.000000,2025-03-04T03:41:49.000000,1,Sunday,0
CR-6243,New local administrator account detected on endpoint,Network,Thor,Michal,Matrix,Service B,Closed,Low,High,High,Medium,2025-03-02T17:03:50.000000,2025-03-03T02:01:50.000000,2025-03-04T09:27:15.000000,1,Sunday,0
CR-6244,Unauthorized attempt to disable endpoint protection,Software,Thor,Michal,Matrix,Service A,Closed,High,Medium,High,High,2025-03-02T12:55:09.000000,2025-03-02T21:03:38.000000,2025-03-03T19:41:54.000000,0,Sunday,1
CR-6245,Abnormal outbound DNS requests from single host,Data,Iron Man,Jan,Matrix,Service C,Closed,High,Low,Medium,High,2025-03-02T00:09:45.000000,2025-03-02T02:43:41.000000,2025-03-03T03:10:00.000000,1,Sunday,0
CR-6246,Ransomware behavior detected and contained on endpoint,Complaint,Peter,Captain America,Matrix,Service A,On Hold,Low,Medium,Medium,High,2025-03-02T02:56:06.000000,,,0,Sunday,1
CR-6247,Unsupported remote desktop tool detected on endpoint,Network,Peter,Peter,Matrix,Service C,Closed,Low,Medium,Medium,High,2025-03-02T23:45:17.000000,2025-03-03T08:29:41.000000,2025-03-04T07:54:08.000000,0,Sunday,1
CR-6248,Data loss prevention policy violation detected,Failure,Martin,Peter,Avengers II,Service A,Closed,Low,High,Medium,High,2025-03-02T06:58:07.000000,2025-03-02T10:36:05.000000,2025-03-04T06:27:00.000000,0,Sunday,1
CR-6249,Multiple failed VPN authentication attempts from external IP,Network,Thor,Peter,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-03-02T05:58:23.000000,2025-03-02T14:38:06.000000,2025-03-03T08:33:24.000000,1,Sunday,0
CR-6250,Suspicious file execution blocked by application control,Network,Captain America,Thor,Avengers II,Service B,Closed,Low,Medium,Medium,High,2025-03-02T12:53:32.000000,2025-03-02T14:30:24.000000,2025-03-03T16:20:40.000000,0,Sunday,1
CR-6251,Malicious macro detected in office document,Failure,Iron Man,Peter,Avengers,Service B,Closed,High,High,Low,Medium,2025-03-02T08:59:56.000000,2025-03-02T15:20:39.000000,2025-03-03T13:42:53.000000,1,Sunday,0
CR-6252,New device connected to corporate Wi-Fi without registration,Data,Thor,Jan,Avengers II,Service C,New,Medium,High,Medium,Low,2025-03-02T15:50:16.000000,,,1,Sunday,0
CR-6253,Multiple logins from different countries within short timeframe,Failure,Thor,Captain America,Avengers,Service C,In Progress,Medium,Medium,Medium,Medium,2025-03-02T11:13:07.000000,2025-03-02T17:06:49.000000,,0,Sunday,1
CR-6254,Unapproved application communicating with external server,Facilities,Captain America,Thor,Avengers,Service B,Closed,Low,Medium,Low,High,2025-03-02T01:01:08.000000,2025-03-02T02:40:47.000000,2025-03-03T18:59:52.000000,1,Sunday,0
CR-6255,Security policy violation on mobile device,Data,Martin,Thor,Avengers,Service B,Closed,High,High,High,High,2025-03-02T15:36:38.000000,2025-03-02T19:01:51.000000,2025-03-03T01:18:19.000000,0,Sunday,1
CR-6256,Unusual access pattern to customer data records,Access,Peter,Jan,Matrix,Service C,In Progress,Low,Low,Medium,Medium,2025-03-02T10:21:51.000000,2025-03-02T11:36:38.000000,,0,Sunday,1
CR-6257,Brute force attack detected on remote access gateway,Complaint,Jan,Iron Man,Avengers,Service C,On Hold,High,Low,High,Low,2025-03-02T20:15:20.000000,,,0,Sunday,1
CR-6258,Unusual data download volume from file server,Data,Michal,Peter,Matrix,Service A,Closed,Medium,Medium,Low,High,2025-03-02T04:06:33.000000,2025-03-02T10:58:51.000000,2025-03-03T22:03:58.000000,0,Sunday,1
CR-6259,Unauthorized attempt to access HR system,Facilities,Thor,Iron Man,Avengers,Service C,Closed,Medium,High,Low,Low,2025-03-02T22:48:09.000000,2025-03-03T07:19:47.000000,2025-03-04T14:01:25.000000,0,Sunday,1
CR-6260,New local administrator account detected on endpoint,Access,Jan,Iron Man,Avengers II,Service A,Closed,High,High,Medium,Medium,2025-03-02T12:44:50.000000,2025-03-02T14:03:14.000000,2025-03-03T11:21:59.000000,1,Sunday,0
CR-6261,Unsupported legacy protocol usage detected in network traffic,Access,Martin,Iron Man,Matrix,Service B,Closed,Medium,Low,Low,High,2025-03-02T20:18:52.000000,2025-03-02T21:32:13.000000,2025-03-03T23:24:20.000000,0,Sunday,1
CR-6262,Unusual data download volume from file server,Hardware,Iron Man,Thor,Avengers II,Service C,In Progress,Medium,High,High,Medium,2025-03-02T17:20:13.000000,2025-03-02T22:56:22.000000,,0,Sunday,1
CR-6263,New device connected to corporate Wi-Fi without registration,Failure,Iron Man,Peter,Matrix,Service B,Closed,Low,Medium,Low,Low,2025-03-02T09:32:13.000000,2025-03-02T15:47:39.000000,2025-03-04T01:48:58.000000,0,Sunday,1
CR-6264,Multiple logins from different countries within short timeframe,Hardware,Jan,Jan,Avengers II,Service A,Closed,Low,High,Low,High,2025-03-02T08:46:56.000000,2025-03-02T09:51:06.000000,2025-03-02T11:52:58.000000,1,Sunday,0
CR-6265,Data loss prevention policy violation detected,Failure,Jan,Captain America,Avengers II,Service B,Closed,Medium,Low,High,Medium,2025-03-02T21:36:31.000000,2025-03-03T00:41:55.000000,2025-03-03T03:18:24.000000,1,Sunday,0
CR-6266,Access request to restricted application reviewed,Software,Peter,Jan,Avengers,Service B,Closed,Medium,Medium,Low,High,2025-03-02T02:32:52.000000,2025-03-02T04:57:53.000000,2025-03-02T21:54:44.000000,1,Sunday,0
CR-6267,Multiple devices reporting same malware signature,Data,Michal,Iron Man,Avengers,Service B,Closed,Low,Medium,Medium,High,2025-03-02T14:32:42.000000,2025-03-02T21:20:10.000000,2025-03-03T18:06:00.000000,1,Sunday,0
CR-6268,Suspicious authentication token reuse detected,Data,Iron Man,Captain America,Avengers II,Service A,Closed,Medium,Medium,Low,High,2025-03-02T03:29:09.000000,2025-03-02T10:20:18.000000,2025-03-03T09:14:18.000000,1,Sunday,0
CR-6269,Phishing email reported by employee,Hardware,Michal,Michal,Avengers,Service C,Closed,Medium,High,Medium,Medium,2025-03-02T19:18:34.000000,2025-03-03T03:47:39.000000,2025-03-03T19:07:23.000000,0,Sunday,1
CR-6270,Suspicious PowerShell activity detected on workstation,Failure,Jan,Iron Man,Avengers,Service C,Closed,Medium,Medium,High,Medium,2025-03-02T10:27:18.000000,2025-03-02T18:34:28.000000,2025-03-04T12:04:24.000000,0,Sunday,1
CR-6271,Unapproved external USB storage device connected,Data,Jan,Peter,Avengers II,Service A,Closed,Low,Medium,High,Medium,2025-03-02T04:10:17.000000,2025-03-02T06:50:18.000000,2025-03-02T11:28:58.000000,1,Sunday,0
CR-6272,Unapproved external USB storage device connected,Software,Peter,Peter,Avengers II,Service C,In Progress,Medium,Low,Low,Medium,2025-03-02T23:15:25.000000,2025-03-03T00:33:59.000000,,0,Sunday,1
CR-6273,Unapproved application communicating with external server,Data,Thor,Iron Man,Avengers II,Service C,Closed,Medium,Medium,High,Medium,2025-03-02T16:41:33.000000,2025-03-02T19:44:42.000000,2025-03-03T18:02:53.000000,1,Sunday,0
CR-6274,Anomalous login pattern for service account,Data,Jan,Peter,Matrix,Service B,Closed,Medium,Medium,High,Medium,2025-03-02T01:38:08.000000,2025-03-02T06:08:08.000000,2025-03-03T18:22:24.000000,0,Sunday,1
CR-6275,Login from decommissioned device detected in logs,Software,Iron Man,Captain America,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-03-02T23:20:11.000000,2025-03-03T04:22:21.000000,2025-03-03T15:04:07.000000,0,Sunday,1
CR-6276,Unusual file encryption activity detected on server,Facilities,Peter,Martin,Matrix,Service B,Closed,High,High,Medium,High,2025-03-02T07:50:00.000000,2025-03-02T16:20:12.000000,2025-03-04T00:33:11.000000,1,Sunday,0
CR-6277,Suspicious outbound traffic to known malicious domain,Network,Jan,Martin,Matrix,Service C,Closed,Low,Medium,Low,Low,2025-03-02T03:32:37.000000,2025-03-02T11:13:56.000000,2025-03-02T18:36:43.000000,0,Sunday,1
CR-6278,New privileged account created without proper approval,Network,Thor,Jan,Avengers,Service A,Closed,Low,Low,High,High,2025-03-02T17:43:17.000000,2025-03-02T22:27:51.000000,2025-03-04T09:20:57.000000,0,Sunday,1
CR-6279,Unapproved remote access session initiated,Data,Captain America,Martin,Matrix,Service B,Closed,Low,Low,High,High,2025-03-02T08:13:23.000000,2025-03-02T11:27:06.000000,2025-03-03T16:26:02.000000,0,Sunday,1
CR-6280,Data loss prevention policy violation detected,Access,Martin,Iron Man,Avengers,Service C,Closed,Low,Low,Medium,Low,2025-03-02T13:44:43.000000,2025-03-02T15:07:59.000000,2025-03-04T02:51:01.000000,1,Sunday,0
CR-6281,Multiple password reset requests from same user,Failure,Jan,Iron Man,Avengers,Service A,Closed,Low,Medium,High,Low,2025-03-02T19:04:19.000000,2025-03-03T02:28:47.000000,2025-03-03T13:59:27.000000,0,Sunday,1
CR-6282,Ransomware behavior detected and contained on endpoint,Facilities,Captain America,Peter,Avengers II,Service A,Closed,Medium,High,Low,Low,2025-03-02T16:39:42.000000,2025-03-02T21:44:03.000000,2025-03-03T05:09:20.000000,0,Sunday,1
CR-6283,Unauthorized attempt to access HR system,Complaint,Michal,Peter,Matrix,Service C,Closed,Medium,Medium,Medium,Low,2025-03-02T16:29:03.000000,2025-03-02T23:01:38.000000,2025-03-03T21:48:14.000000,0,Sunday,1
CR-6284,Unauthorized attempt to access security logs,Software,Martin,Martin,Matrix,Service B,On Hold,Medium,High,Low,High,2025-03-02T03:45:00.000000,,,1,Sunday,0
CR-6285,Unusual data download volume from file server,Data,Peter,Captain America,Avengers II,Service A,Closed,Medium,Low,Low,High,2025-03-02T02:40:48.000000,2025-03-02T11:02:44.000000,2025-03-02T23:24:51.000000,1,Sunday,0
CR-6286,Endpoint reported repeated blocked exploit attempts,Network,Michal,Jan,Avengers,Service C,Closed,Medium,Medium,Low,High,2025-03-02T06:47:42.000000,2025-03-02T09:51:01.000000,2025-03-02T13:38:19.000000,0,Sunday,1
CR-6287,Unsupported remote desktop tool detected on endpoint,Facilities,Michal,Michal,Avengers II,Service A,Closed,Low,Medium,Low,Low,2025-03-02T06:50:35.000000,2025-03-02T08:57:39.000000,2025-03-03T10:19:19.000000,0,Sunday,1
CR-6288,Suspicious outbound traffic to known malicious domain,Data,Iron Man,Peter,Avengers,Service B,Closed,Low,Low,Medium,High,2025-03-02T03:41:49.000000,2025-03-02T12:06:39.000000,2025-03-02T23:14:26.000000,0,Sunday,1
CR-6289,Network scan originating from internal segment detected,Complaint,Jan,Thor,Avengers,Service C,On Hold,High,Medium,High,Medium,2025-03-02T04:15:27.000000,,,0,Sunday,1
CR-6290,Suspicious file execution blocked by application control,Access,Captain America,Peter,Matrix,Service B,Closed,Low,Medium,Low,Low,2025-03-02T18:00:50.000000,2025-03-03T00:31:46.000000,2025-03-04T09:08:24.000000,0,Sunday,1
CR-6291,Data loss prevention policy violation detected,Software,Martin,Jan,Avengers II,Service A,On Hold,Medium,Medium,High,High,2025-03-03T07:51:23.000000,,,0,Monday,1
CR-6292,Attempted login using default system credentials,Failure,Captain America,Peter,Avengers II,Service B,Closed,Low,Low,High,Medium,2025-03-03T10:48:10.000000,2025-03-03T13:50:40.000000,2025-03-04T18:42:34.000000,0,Monday,1
CR-6293,Unapproved external USB storage device connected,Complaint,Iron Man,Thor,Matrix,Service B,Closed,Low,Medium,Medium,Low,2025-03-03T23:02:54.000000,2025-03-04T07:02:41.000000,2025-03-05T03:18:28.000000,0,Monday,1
CR-6294,Phishing email reported by employee,Network,Martin,Michal,Avengers,Service A,On Hold,Low,Medium,High,Medium,2025-03-03T10:09:24.000000,,,0,Monday,1
CR-6295,Endpoint antivirus detected and quarantined malware,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Low,High,Medium,Low,2025-03-03T08:47:10.000000,2025-03-03T13:44:11.000000,2025-03-05T04:45:34.000000,0,Monday,1
CR-6296,Unsupported remote desktop tool detected on endpoint,Access,Michal,Jan,Avengers II,Service B,Closed,Medium,High,Medium,Low,2025-03-03T00:47:25.000000,2025-03-03T06:36:52.000000,2025-03-04T08:11:54.000000,0,Monday,1
CR-6297,Firewall detected and blocked port scanning activity,Data,Iron Man,Iron Man,Avengers II,Service B,Closed,Medium,Low,Medium,High,2025-03-03T18:25:24.000000,2025-03-04T00:57:46.000000,2025-03-04T21:22:28.000000,0,Monday,1
CR-6298,Multiple devices reporting same malware signature,Facilities,Thor,Martin,Avengers,Service B,Closed,High,Low,Low,Low,2025-03-03T03:22:09.000000,2025-03-03T11:31:51.000000,2025-03-03T19:39:27.000000,1,Monday,0
CR-6299,New privileged account created without proper approval,Complaint,Jan,Iron Man,Avengers,Service B,Closed,Low,Low,High,Medium,2025-03-03T10:38:42.000000,2025-03-03T12:16:34.000000,2025-03-04T15:04:37.000000,1,Monday,0
CR-6300,Account lockout due to repeated failed authentication,Hardware,Peter,Peter,Avengers II,Service A,Closed,High,Low,Low,Medium,2025-03-03T06:15:00.000000,2025-03-03T07:28:52.000000,2025-03-04T21:52:32.000000,1,Monday,0
CR-6301,Unexpected configuration change on security appliance,Hardware,Peter,Jan,Matrix,Service C,Closed,High,High,Low,Medium,2025-03-03T15:58:31.000000,2025-03-03T22:52:43.000000,2025-03-05T03:31:12.000000,0,Monday,1
CR-6302,Suspicious authentication attempts to database server,Software,Martin,Jan,Avengers II,Service A,Closed,Low,High,Low,Low,2025-03-03T19:02:20.000000,2025-03-03T20:08:10.000000,2025-03-05T15:40:51.000000,1,Monday,0
