Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-11524,Locked account: Excessive password retry attempts.,Access,Martin,John Wick,Avengers II,Service A,Closed,Low,Medium,Medium,Low,20/04/2025 22:05:05,21/04/2025 02:47:10,21/04/2025 05:39:30,Sunday,21/04/2025 05:39:30
CR-11525,Power failure simulation triggered during red team activity.,Hardware,Iron Man,Michal,Matrix,Service B,Closed,High,Low,Low,Low,20/04/2025 01:48:41,20/04/2025 09:41:45,22/04/2025 02:00:51,Sunday,22/04/2025 02:00:51
CR-11526,Security patch applied: Monitoring for any issues.,Facilities,Iron Man,Hulk,Avengers II,Service C,Closed,High,High,Low,Medium,20/04/2025 15:30:33,20/04/2025 18:40:18,21/04/2025 02:14:43,Sunday,21/04/2025 02:14:43
CR-11527,Unscheduled software change: Application version rolled back.,Access,Iron Man,Hulk,Avengers II,Service A,Closed,High,High,High,High,20/04/2025 20:26:58,21/04/2025 04:42:16,22/04/2025 19:52:41,Sunday,22/04/2025 19:52:41
CR-11528,Cloud storage accessed by untrusted device.,Network,Michal,Peter,Avengers,Service C,Closed,Low,Low,Low,High,20/04/2025 16:56:49,21/04/2025 01:47:06,22/04/2025 00:12:22,Sunday,22/04/2025 00:12:22
CR-11529,SOC analyst triggered investigation for suspicious server activity.,Facilities,Jan,Thor,Avengers II,Service B,New,High,High,Low,Low,20/04/2025 03:55:00,,,Sunday,
CR-11530,Failed security training attempt recorded in training portal.,Software,Captain America,Hulk,Avengers,Service B,Closed,Low,Medium,High,Low,20/04/2025 07:25:03,20/04/2025 13:43:16,20/04/2025 21:34:45,Sunday,20/04/2025 21:34:45
CR-11531,Security patch applied: Monitoring for any issues.,Access,Captain America,John Wick,Avengers,Service B,Closed,Low,Low,High,Medium,20/04/2025 14:54:45,20/04/2025 20:38:32,21/04/2025 13:20:28,Sunday,21/04/2025 13:20:28
CR-11532,Ransomware execution blocked by endpoint protection.,Network,Captain America,Hulk,Avengers II,Service B,Closed,High,Low,High,Low,20/04/2025 02:41:46,20/04/2025 09:25:04,22/04/2025 06:19:55,Sunday,22/04/2025 06:19:55
CR-11533,Network issue: Unable to connect to external API.,Access,Martin,Peter,Avengers II,Service C,Closed,Medium,Medium,Low,Low,20/04/2025 17:04:02,20/04/2025 20:46:13,21/04/2025 20:15:57,Sunday,21/04/2025 20:15:57
CR-11534,Unauthorized device connected: MAC address not whitelisted.,Hardware,Black Panther,Iron Man,Avengers II,Service C,Closed,Medium,Low,Medium,High,20/04/2025 11:21:03,20/04/2025 16:00:59,21/04/2025 07:24:17,Sunday,21/04/2025 07:24:17
CR-11535,Cross-site scripting (XSS) detected on customer portal.,Access,Jan,Martin,Avengers,Service A,New,High,Low,High,High,20/04/2025 03:31:33,,,Sunday,
CR-11536,Network issue: Unable to connect to external API.,Network,Peter,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,High,20/04/2025 13:07:38,20/04/2025 17:55:47,22/04/2025 01:42:59,Sunday,22/04/2025 01:42:59
CR-11537,Suspicious API calls detected: Abnormal volume of requests identified.,Software,Michal,John Wick,Matrix,Service B,On Hold,High,Medium,Medium,Low,20/04/2025 09:07:36,,,Sunday,
CR-11538,Network issue: Unable to connect to external API.,Network,Captain America,Captain America,Matrix,Service A,Closed,Medium,Low,High,Low,20/04/2025 07:13:30,20/04/2025 10:14:22,20/04/2025 19:01:55,Sunday,20/04/2025 19:01:55
CR-11539,Email flagged as phishing: Sensitive keywords detected.,Hardware,Peter,Peter,Avengers II,Service B,Closed,Low,High,Low,High,20/04/2025 15:33:35,20/04/2025 22:52:49,22/04/2025 08:22:35,Sunday,22/04/2025 08:22:35
CR-11540,Firewall breach: Unauthorized access through open port.,Data,Captain America,Martin,Avengers,Service B,Closed,High,High,Medium,Medium,20/04/2025 08:16:08,20/04/2025 15:08:51,21/04/2025 18:48:26,Sunday,21/04/2025 18:48:26
CR-11541,Service outage detected - No connection to database.,Facilities,Peter,Martin,Avengers II,Service C,Closed,Low,Low,High,High,20/04/2025 21:33:42,21/04/2025 04:53:34,22/04/2025 03:23:46,Sunday,22/04/2025 03:23:46
CR-11542,Failed encryption process: Unable to secure sensitive data.,Complaint,Martin,Jan,Avengers,Service A,Closed,Low,High,Low,High,20/04/2025 07:52:42,20/04/2025 13:09:57,21/04/2025 15:59:43,Sunday,21/04/2025 15:59:43
CR-11543,DNS attack detected: Unusual query patterns observed.,Hardware,Black Panther,Iron Man,Avengers,Service C,Closed,Low,High,High,Medium,20/04/2025 09:58:36,20/04/2025 18:45:55,22/04/2025 13:04:49,Sunday,22/04/2025 13:04:49
CR-11544,Email flagged as phishing: Sensitive keywords detected.,Network,Captain America,Iron Man,Matrix,Service A,In Progress,High,High,Medium,Medium,20/04/2025 08:54:32,20/04/2025 14:44:32,,Sunday,
CR-11545,Firewall breach: Unauthorized access through open port.,Complaint,Thor,Martin,Avengers II,Service C,On Hold,Low,Medium,Low,Medium,20/04/2025 18:19:45,,,Sunday,
CR-11546,Red team simulation detected: Penetration testing execution.,Access,Peter,Michal,Avengers II,Service B,Closed,Low,Low,High,High,20/04/2025 21:59:57,21/04/2025 03:18:27,22/04/2025 03:09:57,Sunday,22/04/2025 03:09:57
CR-11547,Security patch missing: Update not applied on critical server.,Access,Peter,Iron Man,Avengers,Service C,Closed,Low,Low,Medium,Low,20/04/2025 02:16:08,20/04/2025 07:30:31,21/04/2025 01:31:25,Sunday,21/04/2025 01:31:25
CR-11548,Locked account: Excessive password retry attempts.,Failure,Jan,Jan,Matrix,Service C,Closed,High,Medium,Low,Low,20/04/2025 08:49:10,20/04/2025 11:19:07,21/04/2025 15:19:56,Sunday,21/04/2025 15:19:56
CR-11549,Suspicious behavior: Multiple failed login attempts detected.,Software,Iron Man,Captain America,Avengers,Service B,In Progress,High,Medium,High,Medium,20/04/2025 01:55:35,20/04/2025 05:07:30,,Sunday,
CR-11550,Red team simulation detected: Penetration testing execution.,Access,Captain America,Michal,Matrix,Service B,Closed,High,High,Low,High,20/04/2025 10:40:05,20/04/2025 12:53:23,21/04/2025 22:11:46,Sunday,21/04/2025 22:11:46
CR-11551,Ransomware attack detected: Encrypted files observed on endpoint.,Access,Jan,Michal,Matrix,Service A,Closed,High,High,Low,Medium,20/04/2025 03:14:04,20/04/2025 08:22:57,21/04/2025 14:29:09,Sunday,21/04/2025 14:29:09
CR-11552,Critical system alert: Root access attempted on production server.,Network,Captain America,Peter,Avengers,Service C,Closed,Medium,Low,Medium,Low,20/04/2025 14:57:40,20/04/2025 21:19:10,21/04/2025 09:57:26,Sunday,21/04/2025 09:57:26
CR-11553,Server reboot required: Kernel update incomplete.,Software,Jan,Peter,Avengers II,Service B,In Progress,Medium,Medium,Low,Medium,20/04/2025 15:44:25,20/04/2025 18:32:18,,Sunday,
CR-11554,Network issue: Unable to connect to external API.,Data,Jan,John Wick,Avengers II,Service A,Closed,High,High,Low,High,20/04/2025 08:48:38,20/04/2025 17:30:12,22/04/2025 04:40:44,Sunday,22/04/2025 04:40:44
CR-11555,Suspicious behavior: Multiple failed login attempts detected.,Data,Captain America,Captain America,Matrix,Service C,Closed,High,Low,High,Low,20/04/2025 09:52:15,20/04/2025 16:20:20,22/04/2025 08:54:51,Sunday,22/04/2025 08:54:51
CR-11556,Expired password reset request: User notified.,Hardware,Jan,Michal,Avengers,Service C,Closed,High,High,Medium,Medium,20/04/2025 00:03:08,20/04/2025 06:22:32,20/04/2025 23:50:56,Sunday,20/04/2025 23:50:56
CR-11557,Dark web monitoring alert: Credentials detected for sale online.,Software,Martin,Captain America,Matrix,Service C,Closed,Medium,High,High,High,20/04/2025 07:10:56,20/04/2025 09:50:07,21/04/2025 07:57:15,Sunday,21/04/2025 07:57:15
CR-11558,Suspicious activity detected on account: User A.,Complaint,Iron Man,Peter,Matrix,Service B,Closed,Medium,Medium,Medium,High,20/04/2025 10:04:53,20/04/2025 18:28:34,22/04/2025 06:57:43,Sunday,22/04/2025 06:57:43
CR-11559,Red team simulation detected: Penetration testing execution.,Complaint,Jan,John Wick,Avengers II,Service A,Closed,Low,High,High,Low,20/04/2025 01:04:03,20/04/2025 06:58:13,20/04/2025 12:06:44,Sunday,20/04/2025 12:06:44
CR-11560,Unusual system reboot detected on DevOps environment.,Failure,Martin,Hulk,Matrix,Service A,Closed,Low,Medium,High,Medium,20/04/2025 06:51:59,20/04/2025 12:37:06,21/04/2025 19:29:59,Sunday,21/04/2025 19:29:59
CR-11561,User login failed: Account locked due to excessive login attempts.,Hardware,Martin,Black Panther,Matrix,Service C,On Hold,Medium,Low,Medium,Low,20/04/2025 12:01:17,,,Sunday,
CR-11562,Expired certificates detected: TLS handshake improper.,Failure,Peter,Black Panther,Avengers II,Service C,Closed,Medium,Medium,Medium,High,20/04/2025 06:07:41,20/04/2025 14:18:39,20/04/2025 20:27:13,Sunday,20/04/2025 20:27:13
CR-11563,SOC analyst triggered investigation for suspicious server activity.,Hardware,Thor,Captain America,Avengers II,Service C,Closed,Medium,High,High,High,20/04/2025 07:08:10,20/04/2025 09:51:03,21/04/2025 09:37:07,Sunday,21/04/2025 09:37:07
CR-11564,Keylogger activity detected on user's workstation.,Failure,Jan,Thor,Matrix,Service B,Closed,High,High,High,Medium,20/04/2025 04:43:00,20/04/2025 10:54:33,22/04/2025 03:56:42,Sunday,22/04/2025 03:56:42
CR-11565,Unpatched vulnerability flagged: CVE report mismatch detected.,Data,Hulk,Martin,Matrix,Service B,Closed,High,Medium,High,Medium,20/04/2025 10:41:49,20/04/2025 18:14:24,21/04/2025 09:54:12,Sunday,21/04/2025 09:54:12
CR-11566,Web server certificate expired: Issue flagged for priority teams.,Software,Black Panther,Jan,Matrix,Service B,Closed,Low,Medium,High,High,20/04/2025 20:13:50,21/04/2025 02:23:29,22/04/2025 21:19:48,Sunday,22/04/2025 21:19:48
CR-11567,Failed encryption process: Unable to secure sensitive data.,Data,Martin,Black Panther,Matrix,Service C,Closed,High,High,High,Low,20/04/2025 13:16:11,20/04/2025 19:25:36,22/04/2025 01:22:21,Sunday,22/04/2025 01:22:21
CR-11568,Privileged account login attempt: Microsoft Admin flagged.,Software,Peter,Jan,Avengers,Service B,Closed,Medium,Low,High,High,20/04/2025 09:58:04,20/04/2025 17:04:43,20/04/2025 20:37:39,Sunday,20/04/2025 20:37:39
CR-11569,Keylogger activity detected on user's workstation.,Hardware,Jan,Black Panther,Avengers II,Service C,New,Medium,Low,Low,High,20/04/2025 22:55:36,,,Sunday,
CR-11570,Suspicious API calls detected: Abnormal volume of requests identified.,Hardware,Michal,Thor,Avengers,Service C,Closed,Medium,High,High,Medium,20/04/2025 13:29:09,20/04/2025 17:41:23,22/04/2025 06:16:57,Sunday,22/04/2025 06:16:57
CR-11571,Failed malware removal: Corrupted file system detected.,Software,Black Panther,John Wick,Avengers II,Service A,Closed,Low,Medium,Low,High,20/04/2025 17:35:20,20/04/2025 20:10:12,20/04/2025 22:59:12,Sunday,20/04/2025 22:59:12
CR-11572,Breach alert: Privileged credentials exposed.,Hardware,Peter,Martin,Avengers,Service A,In Progress,Medium,High,High,High,20/04/2025 06:43:54,20/04/2025 12:21:51,,Sunday,
CR-11573,Suspicious API calls detected: Abnormal volume of requests identified.,Facilities,Hulk,Hulk,Avengers II,Service B,Closed,Low,Medium,Low,High,20/04/2025 15:15:03,20/04/2025 23:47:56,21/04/2025 02:46:56,Sunday,21/04/2025 02:46:56
CR-11574,Suspicious behavior: Multiple failed login attempts detected.,Failure,Thor,Black Panther,Avengers,Service A,Closed,Low,High,High,High,20/04/2025 10:36:32,20/04/2025 14:58:06,22/04/2025 08:15:45,Sunday,22/04/2025 08:15:45
CR-11575,Critical alert: Database server overload detected.,Network,Hulk,John Wick,Matrix,Service B,Closed,Low,Medium,High,Low,20/04/2025 23:49:51,21/04/2025 04:41:53,22/04/2025 06:16:19,Sunday,22/04/2025 06:16:19
CR-11576,User permission escalation detected on cloud platform.,Hardware,Jan,Thor,Avengers,Service A,Closed,Medium,High,High,High,20/04/2025 05:08:34,20/04/2025 09:43:31,22/04/2025 04:29:35,Sunday,22/04/2025 04:29:35
CR-11577,Dark web monitoring alert: Credentials detected for sale online.,Failure,Captain America,Black Panther,Avengers,Service C,Closed,Low,Medium,Medium,High,20/04/2025 08:11:50,20/04/2025 16:59:48,21/04/2025 10:03:09,Sunday,21/04/2025 10:03:09
CR-11578,User login failed: Account locked due to excessive login attempts.,Hardware,Black Panther,Jan,Avengers II,Service B,Closed,Medium,High,Medium,High,20/04/2025 10:07:38,20/04/2025 18:07:28,22/04/2025 01:55:51,Sunday,22/04/2025 01:55:51
CR-11579,Unauthorized access attempt detected: IP flagged as suspicious.,Software,Thor,Jan,Avengers,Service C,New,Medium,Medium,High,High,20/04/2025 00:26:44,,,Sunday,
CR-11580,System configuration error: Permissions incorrectly set.,Facilities,Thor,Jan,Avengers,Service C,Closed,High,Medium,Low,High,20/04/2025 01:11:58,20/04/2025 07:37:37,21/04/2025 23:35:38,Sunday,21/04/2025 23:35:38
CR-11581,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Complaint,Iron Man,Hulk,Matrix,Service C,Closed,Medium,Medium,Low,Low,20/04/2025 05:18:44,20/04/2025 11:03:14,21/04/2025 19:17:00,Sunday,21/04/2025 19:17:00
CR-11582,Failed SSO login: Invalid credentials provided.,Facilities,Peter,Martin,Avengers II,Service C,Closed,Low,High,High,Medium,20/04/2025 23:07:53,21/04/2025 03:23:57,22/04/2025 21:58:15,Sunday,22/04/2025 21:58:15
CR-11583,VPN connection failure: Unable to securely tunnel data.,Software,Michal,Black Panther,Matrix,Service C,Closed,Low,Medium,Medium,High,20/04/2025 23:23:43,21/04/2025 01:42:50,21/04/2025 16:51:47,Sunday,21/04/2025 16:51:47
CR-11584,Malware detected on endpoint: Quarantine initiated.,Network,Martin,Iron Man,Matrix,Service A,Closed,Low,Low,High,Low,20/04/2025 11:47:32,20/04/2025 17:03:53,20/04/2025 19:54:01,Sunday,20/04/2025 19:54:01
CR-11585,Network congestion: High bandwidth usage flagged.,Failure,Jan,Martin,Matrix,Service B,Closed,Low,Medium,Low,Medium,20/04/2025 08:43:07,20/04/2025 14:31:53,21/04/2025 04:10:45,Sunday,21/04/2025 04:10:45
CR-11586,SQL injection attempt: Unauthorized queries flagged.,Data,Thor,Peter,Avengers,Service B,Closed,Medium,Medium,High,Low,20/04/2025 02:55:41,20/04/2025 05:14:46,20/04/2025 17:30:24,Sunday,20/04/2025 17:30:24
CR-11587,SOC analyst triggered investigation for suspicious server activity.,Network,Jan,Jan,Avengers II,Service A,Closed,Low,Medium,Medium,High,20/04/2025 16:55:08,21/04/2025 01:07:16,22/04/2025 06:49:51,Sunday,22/04/2025 06:49:51
CR-11588,User login failed: Account locked due to excessive login attempts.,Complaint,Jan,Black Panther,Avengers,Service B,Closed,High,Medium,Low,Medium,20/04/2025 12:38:35,20/04/2025 20:08:55,21/04/2025 10:06:06,Sunday,21/04/2025 10:06:06
CR-11589,Cloud instance misconfiguration: Public access enabled.,Facilities,Jan,Peter,Avengers,Service C,Closed,High,High,High,Medium,20/04/2025 10:16:08,20/04/2025 12:28:00,20/04/2025 16:13:18,Sunday,20/04/2025 16:13:18
CR-11590,Failed packet inspection: Firewall rules misconfigured.,Failure,Jan,Peter,Matrix,Service B,Closed,Low,Medium,Medium,Medium,20/04/2025 23:10:42,21/04/2025 05:11:58,23/04/2025 01:57:11,Sunday,23/04/2025 01:57:11
CR-11591,Data download from personal device flagged for review.,Facilities,Black Panther,Iron Man,Matrix,Service A,Closed,Low,High,Medium,Medium,20/04/2025 21:18:12,21/04/2025 02:37:49,21/04/2025 05:39:09,Sunday,21/04/2025 05:39:09
CR-11592,Failed security training attempt recorded in training portal.,Hardware,Thor,Martin,Matrix,Service B,On Hold,Low,Low,Low,Low,20/04/2025 11:06:34,,,Sunday,
CR-11593,Suspicious behavior: Multiple failed login attempts detected.,Complaint,Captain America,Jan,Matrix,Service C,New,Medium,Low,Medium,Low,20/04/2025 09:27:37,,,Sunday,
CR-11594,Data exfiltration alert: Large outbound transfer from server.,Software,Martin,Michal,Avengers II,Service A,Closed,Low,Medium,Low,Low,20/04/2025 20:34:33,20/04/2025 22:44:19,21/04/2025 14:20:21,Sunday,21/04/2025 14:20:21
CR-11595,Unauthorized device connected: MAC address not whitelisted.,Complaint,Captain America,Michal,Matrix,Service B,Closed,High,High,High,High,20/04/2025 09:57:02,20/04/2025 16:19:14,22/04/2025 03:58:05,Sunday,22/04/2025 03:58:05
CR-11596,Critical security incident logged: Immediate remediation required.,Hardware,Peter,Martin,Avengers II,Service C,In Progress,Low,Low,Medium,Medium,20/04/2025 00:57:36,20/04/2025 05:18:31,,Sunday,
CR-11597,Phishing email flagged: User report received for fake login attempt.,Failure,Jan,Peter,Avengers II,Service B,New,High,Medium,Low,Low,20/04/2025 13:31:49,,,Sunday,
CR-11598,Data breach notification sent to affected users.,Data,Martin,Captain America,Matrix,Service C,Closed,High,Low,Medium,High,20/04/2025 16:37:40,20/04/2025 22:29:04,21/04/2025 03:04:37,Sunday,21/04/2025 03:04:37
CR-11599,Failed SSO login: Invalid credentials provided.,Failure,Thor,Thor,Avengers II,Service C,Closed,High,Medium,High,High,20/04/2025 03:49:50,20/04/2025 06:46:26,20/04/2025 16:08:41,Sunday,20/04/2025 16:08:41
CR-11600,Expired password reset request: User notified.,Software,Hulk,Thor,Avengers II,Service B,Closed,Medium,Medium,Medium,Low,20/04/2025 23:04:42,21/04/2025 04:56:50,22/04/2025 16:34:17,Sunday,22/04/2025 16:34:17
CR-11601,Suspicious API calls detected: Abnormal volume of requests identified.,Complaint,Peter,Jan,Avengers II,Service B,Closed,Medium,High,Low,Low,20/04/2025 00:10:35,20/04/2025 08:50:37,20/04/2025 11:54:07,Sunday,20/04/2025 11:54:07
CR-11602,Server reboot required: Kernel update incomplete.,Network,Michal,Jan,Matrix,Service A,Closed,Medium,Low,High,Medium,20/04/2025 00:45:47,20/04/2025 09:32:53,20/04/2025 17:30:16,Sunday,20/04/2025 17:30:16
CR-11603,SQL injection attempt: Unauthorized queries flagged.,Complaint,Peter,Martin,Avengers II,Service A,Closed,High,Low,Medium,Low,20/04/2025 05:28:24,20/04/2025 14:25:59,21/04/2025 23:34:25,Sunday,21/04/2025 23:34:25
CR-11604,Unauthorized user session hijacked on browser.,Network,Peter,Thor,Avengers II,Service C,Closed,Low,High,Medium,Medium,20/04/2025 07:05:30,20/04/2025 12:11:25,22/04/2025 05:25:43,Sunday,22/04/2025 05:25:43
CR-11605,Web application timeout: Performance degradation observed.,Access,Thor,John Wick,Avengers,Service C,Closed,Medium,Medium,High,Medium,20/04/2025 20:02:44,20/04/2025 22:34:04,22/04/2025 12:43:38,Sunday,22/04/2025 12:43:38
CR-11606,Cloud storage accessed by untrusted device.,Access,Jan,Black Panther,Matrix,Service B,Closed,Low,Low,Medium,High,20/04/2025 12:01:05,20/04/2025 15:01:38,21/04/2025 22:23:25,Sunday,21/04/2025 22:23:25
CR-11607,VPN connection failure: Unable to securely tunnel data.,Failure,Thor,Michal,Avengers II,Service B,On Hold,Low,Medium,High,Low,20/04/2025 19:42:13,,,Sunday,
CR-11608,Network scanning tool triggered security alert.,Failure,Captain America,Peter,Matrix,Service A,On Hold,Medium,Medium,Low,Low,20/04/2025 15:36:19,,,Sunday,
CR-11609,Email flagged as phishing: Sensitive keywords detected.,Data,Peter,John Wick,Avengers II,Service B,Closed,Low,High,High,High,20/04/2025 15:34:57,20/04/2025 19:55:46,22/04/2025 01:27:55,Sunday,22/04/2025 01:27:55
CR-11610,Cross-site scripting (XSS) detected on customer portal.,Complaint,John Wick,Jan,Matrix,Service B,Closed,Medium,Low,Medium,High,20/04/2025 05:32:11,20/04/2025 08:40:44,21/04/2025 04:07:19,Sunday,21/04/2025 04:07:19
CR-11611,Power failure simulation triggered during red team activity.,Hardware,Iron Man,Martin,Avengers,Service C,Closed,High,Low,Medium,High,20/04/2025 15:47:05,20/04/2025 23:48:04,21/04/2025 08:49:29,Sunday,21/04/2025 08:49:29
CR-11612,Critical security incident logged: Immediate remediation required.,Complaint,Jan,Black Panther,Matrix,Service A,Closed,Medium,Low,Low,Low,20/04/2025 18:58:37,20/04/2025 22:52:33,21/04/2025 21:36:17,Sunday,21/04/2025 21:36:17
CR-11613,Keylogger activity detected on user's workstation.,Hardware,Michal,Martin,Matrix,Service A,Closed,Low,Low,Low,High,20/04/2025 03:07:15,20/04/2025 07:29:26,20/04/2025 18:18:19,Sunday,20/04/2025 18:18:19
CR-11614,Phishing email flagged: User report received for fake login attempt.,Software,John Wick,Peter,Avengers,Service C,Closed,Medium,Medium,High,Low,20/04/2025 07:09:26,20/04/2025 10:55:15,20/04/2025 23:48:39,Sunday,20/04/2025 23:48:39
CR-11615,Unusual system reboot detected on DevOps environment.,Access,Peter,Martin,Avengers II,Service C,Closed,High,High,Low,Medium,20/04/2025 15:26:51,20/04/2025 22:29:13,21/04/2025 01:08:04,Sunday,21/04/2025 01:08:04
CR-11616,Locked account: Excessive password retry attempts.,Network,Captain America,Thor,Avengers II,Service A,Closed,High,Low,Low,Low,20/04/2025 19:14:34,21/04/2025 02:18:53,22/04/2025 17:06:54,Sunday,22/04/2025 17:06:54
CR-11617,Cloud misconfiguration alert: Public exposure of sensitive data.,Software,Jan,Black Panther,Matrix,Service B,Closed,High,Low,Medium,Medium,20/04/2025 11:54:55,20/04/2025 18:55:17,22/04/2025 15:40:19,Sunday,22/04/2025 15:40:19
CR-11618,Red team simulation detected: Penetration testing execution.,Facilities,John Wick,Iron Man,Avengers II,Service A,Closed,Low,Medium,Low,Medium,20/04/2025 11:53:54,20/04/2025 19:11:08,21/04/2025 10:14:19,Sunday,21/04/2025 10:14:19
CR-11619,Security patch missing: Update not applied on critical server.,Complaint,Captain America,Jan,Avengers II,Service C,Closed,Medium,High,Low,Low,20/04/2025 22:04:19,21/04/2025 05:43:46,21/04/2025 14:06:39,Sunday,21/04/2025 14:06:39
CR-11620,Firewall breach: Unauthorized access through open port.,Software,Captain America,Jan,Avengers II,Service B,Closed,Low,Medium,High,Medium,20/04/2025 10:53:33,20/04/2025 18:24:37,21/04/2025 19:29:02,Sunday,21/04/2025 19:29:02
CR-11621,System configuration error: Permissions incorrectly set.,Network,Iron Man,Hulk,Avengers II,Service C,Closed,Medium,Medium,Low,High,20/04/2025 13:01:30,20/04/2025 20:06:44,21/04/2025 10:48:16,Sunday,21/04/2025 10:48:16
CR-11622,Malware detected on endpoint: Quarantine initiated.,Software,Jan,Hulk,Avengers II,Service C,Closed,High,Low,Medium,Low,20/04/2025 01:19:16,20/04/2025 05:21:19,20/04/2025 08:49:42,Sunday,20/04/2025 08:49:42
CR-11623,Malicious macro executed within Office file.,Hardware,Michal,Michal,Avengers II,Service C,Closed,High,Medium,High,High,20/04/2025 18:26:05,21/04/2025 00:40:51,21/04/2025 08:17:33,Sunday,21/04/2025 08:17:33
CR-11624,VPN connection failure: Unable to securely tunnel data.,Data,Michal,Peter,Avengers,Service A,Closed,Medium,Low,Medium,Low,20/04/2025 20:41:12,21/04/2025 03:16:44,22/04/2025 07:53:54,Sunday,22/04/2025 07:53:54
CR-11625,System configuration error: Permissions incorrectly set.,Data,Iron Man,Martin,Avengers,Service B,Closed,High,Low,Low,Medium,20/04/2025 17:55:26,21/04/2025 02:18:18,22/04/2025 01:00:39,Sunday,22/04/2025 01:00:39
CR-11626,Failed encryption process: Unable to secure sensitive data.,Software,Michal,Captain America,Avengers,Service A,Closed,Low,High,Low,High,20/04/2025 01:44:28,20/04/2025 09:15:24,21/04/2025 12:25:19,Sunday,21/04/2025 12:25:19
CR-11627,Cross-site scripting (XSS) detected on customer portal.,Access,Peter,John Wick,Avengers,Service A,Closed,High,Medium,High,High,20/04/2025 18:19:24,20/04/2025 21:56:20,21/04/2025 12:00:17,Sunday,21/04/2025 12:00:17
CR-11628,Breach alert: Privileged credentials exposed.,Complaint,Black Panther,John Wick,Avengers,Service C,Closed,Low,High,Low,Medium,20/04/2025 23:57:45,21/04/2025 05:00:11,22/04/2025 16:11:47,Sunday,22/04/2025 16:11:47
CR-11629,Suspicious behavior: Multiple failed login attempts detected.,Facilities,Black Panther,Thor,Avengers II,Service C,Closed,High,Low,High,Low,20/04/2025 07:47:20,20/04/2025 16:06:53,21/04/2025 19:14:02,Sunday,21/04/2025 19:14:02
CR-11630,Failed packet inspection: Firewall rules misconfigured.,Network,Iron Man,Black Panther,Avengers,Service A,Closed,Medium,High,Medium,Medium,20/04/2025 16:52:39,20/04/2025 21:18:04,21/04/2025 22:55:18,Sunday,21/04/2025 22:55:18
CR-11631,Cross-site scripting (XSS) detected on customer portal.,Software,Hulk,Peter,Matrix,Service C,Closed,Medium,Medium,High,Medium,20/04/2025 09:41:01,20/04/2025 13:48:59,21/04/2025 19:09:45,Sunday,21/04/2025 19:09:45
CR-11632,Unencrypted sensitive file shared externally.,Hardware,Iron Man,Peter,Avengers,Service C,Closed,Low,High,High,Medium,20/04/2025 14:31:25,20/04/2025 17:27:43,22/04/2025 02:30:32,Sunday,22/04/2025 02:30:32
CR-11633,Unusual system reboot detected on DevOps environment.,Network,John Wick,Peter,Avengers,Service A,In Progress,High,Low,Low,Medium,20/04/2025 19:42:42,20/04/2025 22:22:47,,Sunday,
CR-11634,Malware detected on endpoint: Quarantine initiated.,Hardware,Thor,Martin,Matrix,Service C,Closed,Low,Low,High,Medium,20/04/2025 20:14:59,21/04/2025 01:36:11,22/04/2025 10:35:09,Sunday,22/04/2025 10:35:09
CR-11635,DDoS attack detected: High traffic spotted on critical service.,Access,Jan,Captain America,Avengers,Service C,Closed,Medium,Low,Medium,High,20/04/2025 19:31:45,21/04/2025 00:41:29,22/04/2025 09:11:39,Sunday,22/04/2025 09:11:39
CR-11636,Security patch missing: Update not applied on critical server.,Facilities,Michal,Black Panther,Avengers II,Service A,Closed,Medium,Medium,High,High,20/04/2025 04:45:28,20/04/2025 09:35:10,20/04/2025 16:05:07,Sunday,20/04/2025 16:05:07
CR-11637,Phishing email flagged: User report received for fake login attempt.,Facilities,John Wick,Captain America,Matrix,Service B,Closed,High,Low,Low,High,20/04/2025 15:24:40,20/04/2025 21:16:38,21/04/2025 23:50:40,Sunday,21/04/2025 23:50:40
CR-11638,Critical security incident logged: Immediate remediation required.,Data,Hulk,Martin,Avengers II,Service C,Closed,Low,Medium,Medium,Low,20/04/2025 07:26:15,20/04/2025 13:17:49,21/04/2025 14:55:05,Sunday,21/04/2025 14:55:05
CR-11639,Data breach notification sent to affected users.,Hardware,Michal,John Wick,Matrix,Service A,Closed,High,High,Medium,High,20/04/2025 18:02:12,21/04/2025 00:40:31,22/04/2025 20:23:17,Sunday,22/04/2025 20:23:17
CR-11640,SOC analyst triggered investigation for suspicious server activity.,Facilities,Hulk,Hulk,Matrix,Service B,Closed,Low,Low,Medium,Medium,21/04/2025 01:34:39,21/04/2025 03:38:22,21/04/2025 18:24:11,Monday,21/04/2025 18:24:11
CR-11641,Failed cloud synchronization: Files cannot be uploaded.,Software,Hulk,John Wick,Avengers,Service B,Closed,High,Low,Low,Low,21/04/2025 19:05:16,21/04/2025 21:55:09,22/04/2025 12:45:29,Monday,22/04/2025 12:45:29
CR-11642,User permission escalation detected on cloud platform.,Complaint,Jan,Martin,Avengers II,Service A,Closed,High,Medium,Medium,Low,21/04/2025 19:48:28,22/04/2025 01:23:46,23/04/2025 10:50:32,Monday,23/04/2025 10:50:32
